date,price,cash,btc_holdings,position_value,total_value,return,total_score,in_target_zone,peak,drawdown
2021-02-09,46509.57,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,3,True,12163.122149099578,-1.0140573473763488
2021-02-10,44854.95,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,3,True,12163.122149099578,-1.0140573473763488
2021-02-11,48006.18,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,3,True,12163.122149099578,-1.0140573473763488
2021-02-12,47435.54,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-02-13,47222.32,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-02-14,48652.87,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-02-15,47936.51,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-02-16,49184.63,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-02-17,52154.91,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-02-18,51591.61,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-02-19,55933.47,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-02-20,55900.84,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-02-21,57469.95,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-02-22,54121.17,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-02-23,48898.7,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-02-24,49738.17,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-02-25,47082.87,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-02-26,46324.5,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-02-27,46191.39,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-02-28,45261.03,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-03-01,49635.07,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-03-02,48501.21,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-03-03,50392.55,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-03-04,48363.74,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-03-05,48775.37,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-03-06,48892.8,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-03-07,50964.18,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-03-08,52405.02,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-03-09,54928.7,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
2021-03-10,55893.31,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,1,False,12163.122149099578,-1.0140573473763488
