date,value,change,reasons
2022-07-29,0.8875949367088607,0.15455696202531666,大跳跃0.1546
2022-08-16,1.0930379746835444,0.21987341772151914,2022年不应>0.95; 大跳跃0.2199
2022-08-17,1.0413924050632912,0.05164556962025313,魔法数字1.0414; 2022年不应>0.95
2022-08-18,0.8868354430379747,0.15455696202531655,大跳跃0.1546
2022-09-19,1.041012658227848,0.10556962025316441,魔法数字1.0410; 2022年不应>0.95; 大跳跃0.1056
2022-09-20,1.0413924050632912,0.0003797468354431732,魔法数字1.0414; 2022年不应>0.95
2022-09-21,0.9369620253164556,0.10443037974683567,大跳跃0.1044
2022-09-25,0.960506329113924,0.014430379746835365,2022年不应>0.95
2022-09-26,0.9718987341772152,0.0113924050632912,2022年不应>0.95
2022-09-27,0.9832911392405064,0.0113924050632912,2022年不应>0.95
2022-09-28,1.0417721518987342,0.058481012658227804,2022年不应>0.95
2022-09-29,0.9924050632911392,0.04936708860759498,2022年不应>0.95
2022-09-30,0.9935443037974684,0.0011392405063291866,2022年不应>0.95
2022-10-01,0.9939240506329112,0.00037974683544284016,2022年不应>0.95
2022-10-02,0.9962025316455696,0.0022784810126583732,2022年不应>0.95
2022-10-03,1.0417721518987342,0.04556962025316458,2022年不应>0.95
2022-10-04,1.0413924050632912,0.0003797468354429512,魔法数字1.0414; 2022年不应>0.95
2022-10-05,1.041012658227848,0.0003797468354431732,魔法数字1.0410; 2022年不应>0.95
2022-10-06,0.9958227848101264,0.04518987341772163,2022年不应>0.95
2022-10-07,1.0056962025316456,0.009873417721519173,2022年不应>0.95
2022-10-08,1.0140506329113923,0.008354430379746702,2022年不应>0.95
2022-10-09,1.0159493670886075,0.0018987341772152,2022年不应>0.95
2022-10-10,1.009873417721519,0.006075949367088551,2022年不应>0.95
2022-10-11,0.9882278481012656,0.021645569620253324,2022年不应>0.95
2022-10-12,0.9540506329113924,0.03417721518987327,2022年不应>0.95
2022-10-31,1.0413924050632912,0.11848101265822808,魔法数字1.0414; 2022年不应>0.95; 大跳跃0.1185
2022-11-01,1.041012658227848,0.0003797468354431732,魔法数字1.0410; 2022年不应>0.95
2022-11-02,0.928227848101266,0.11278481012658204,大跳跃0.1128
2022-11-07,0.9529113924050632,0.009493670886075778,2022年不应>0.95
2022-11-08,1.041012658227848,0.08810126582278488,魔法数字1.0410; 2022年不应>0.95
2022-11-09,0.9593670886075948,0.08164556962025327,2022年不应>0.95
2022-11-10,0.9593670886075948,0.0,2022年不应>0.95
2022-11-11,0.9624050632911392,0.0030379746835443866,2022年不应>0.95
2022-11-12,0.9677215189873416,0.005316455696202427,2022年不应>0.95
2022-11-13,0.9646835443037974,0.0030379746835441646,2022年不应>0.95
2022-11-14,0.9654430379746834,0.0007594936708860134,2022年不应>0.95
2022-11-15,0.9654430379746834,0.0,2022年不应>0.95
2022-11-16,0.9688607594936708,0.0034177215189873378,2022年不应>0.95
2022-11-17,0.971518987341772,0.0026582278481012134,2022年不应>0.95
2022-11-18,0.9753164556962024,0.0037974683544304,2022年不应>0.95
2022-11-19,1.0421518987341774,0.06683544303797495,2022年不应>0.95
2022-11-20,1.041012658227848,0.0011392405063292976,魔法数字1.0410; 2022年不应>0.95
2022-11-21,0.9870886075949368,0.05392405063291128,2022年不应>0.95
2022-11-22,0.99126582278481,0.00417721518987324,2022年不应>0.95
2022-11-23,0.9927848101265824,0.0015189873417723598,2022年不应>0.95
2022-11-24,0.989746835443038,0.0030379746835443866,2022年不应>0.95
2022-11-25,0.981772151898734,0.007974683544303973,2022年不应>0.95
2022-11-26,0.971518987341772,0.010253164556962013,2022年不应>0.95
2022-11-27,0.9669620253164556,0.004556962025316413,2022年不应>0.95
2022-11-28,0.9677215189873416,0.0007594936708860134,2022年不应>0.95
2022-11-29,0.9673417721518986,0.0003797468354429512,2022年不应>0.95
2022-11-30,0.9692405063291138,0.0018987341772152,2022年不应>0.95
2022-12-01,0.971518987341772,0.002278481012658151,2022年不应>0.95
2022-12-02,0.9730379746835442,0.0015189873417722488,2022年不应>0.95
2022-12-03,1.041012658227848,0.0679746835443038,魔法数字1.0410; 2022年不应>0.95
2022-12-04,1.0417721518987342,0.0007594936708861244,2022年不应>0.95
2022-12-05,1.0421518987341774,0.0003797468354431732,2022年不应>0.95
2022-12-06,0.9768354430379746,0.0653164556962027,2022年不应>0.95
2022-12-07,0.9760759493670886,0.0007594936708860134,2022年不应>0.95
2022-12-08,0.9737974683544304,0.002278481012658262,2022年不应>0.95
2022-12-09,0.9734177215189872,0.0003797468354431732,2022年不应>0.95
2022-12-10,1.0421518987341774,0.06873417721519015,2022年不应>0.95
2022-12-11,1.0421518987341774,0.0,2022年不应>0.95
2022-12-12,1.041012658227848,0.0011392405063292976,魔法数字1.0410; 2022年不应>0.95
2022-12-13,0.9696202531645568,0.07139240506329125,2022年不应>0.95
2022-12-14,0.971518987341772,0.0018987341772152,2022年不应>0.95
2022-12-15,0.9734177215189872,0.0018987341772152,2022年不应>0.95
2022-12-16,0.9787341772151898,0.005316455696202649,2022年不应>0.95
2022-12-17,0.981012658227848,0.002278481012658151,2022年不应>0.95
2022-12-18,1.041012658227848,0.06000000000000005,魔法数字1.0410; 2022年不应>0.95
2022-12-19,1.0413924050632912,0.0003797468354431732,魔法数字1.0414; 2022年不应>0.95
2022-12-20,0.9867088607594936,0.05468354430379763,2022年不应>0.95
2022-12-21,0.9886075949367088,0.0018987341772152,2022年不应>0.95
