date,price,cash,btc_holdings,portfolio_value,signal
2021-05-29,34611.58,199.13699667595253,0.2463580815377239,8725.979444465407,DCA
2021-05-30,35662.59,199.13699667595253,0.2463580815377239,8984.904251742368,DCA
2021-05-31,37290.83,199.13699667595253,0.2463580815377239,9386.034334425352,DCA
2021-06-01,36683.51,199.13699667595253,0.2463580815377239,9236.416144345863,DCA
2021-06-02,37576.98,199.13699667595253,0.2463580815377239,9456.529699457373,DCA
2021-06-03,39229.66,199.13699667595253,0.2463580815377239,9863.68077365314,DCA
2021-06-04,36861.5,199.13699667595253,0.2463580815377239,9280.26541927876,DCA
2021-06-05,35538.4,199.13699667595253,0.2463580815377239,8954.3090415962,DCA
2021-06-06,35798.57,199.13699667595253,0.2463580815377239,9018.40402366987,DCA
2021-06-07,33582.86,199.13699667595253,0.2463580815377239,8472.545958825918,DCA
2021-06-08,33409.38,199.13699667595253,0.2463580815377239,8429.807758840754,DCA
2021-06-09,37391.58,199.13699667595253,0.2463580815377239,9410.85491114028,DCA
2021-06-10,36680.78,199.13699667595253,0.2463580815377239,9235.743586783265,DCA
2021-06-11,37339.98,199.13699667595253,0.2463580815377239,9398.142834132932,DCA
2021-06-12,35541.78,199.13699667595253,0.2463580815377239,8955.141731911797,DCA
2021-06-13,39017.37,199.13699667595253,0.2463580815377239,9811.381416523494,DCA
2021-06-14,40526.63,199.13699667595253,0.2463580815377239,10183.19981466512,DCA
2021-06-15,40161.86,199.13699667595253,0.2463580815377239,10093.335777262604,DCA
2021-06-16,38345.41,199.13699667595253,0.2463580815377239,9645.838640053404,DCA
2021-06-17,38082.3,199.13699667595253,0.2463580815377239,9581.019365220016,DCA
2021-06-18,35830.29,199.13699667595253,0.2463580815377239,9026.218502016243,DCA
2021-06-19,35515.38,199.13699667595253,0.2463580815377239,8948.6378785592,DCA
2021-06-20,35602.26,199.13699667595253,0.2463580815377239,8970.0414686832,DCA
2021-06-21,31652.62,199.13699667595253,0.2463580815377239,7997.015735518542,DCA
2021-06-22,32537.58,199.13699667595253,0.2463580815377239,8215.032783356168,DCA
2021-06-23,33678.64,199.13699667595253,0.2463580815377239,8496.142135875602,DCA
2021-06-24,34649.84,199.13699667595253,0.2463580815377239,8735.405104665038,DCA
2021-06-25,31593.86,199.13699667595253,0.2463580815377239,7982.539734647386,DCA
2021-06-26,32307.35,199.13699667595253,0.2463580815377239,8158.313762243736,DCA
2021-06-27,34713.81,199.13699667595253,0.2463580815377239,8751.164631141008,DCA
2021-06-28,34487.11,199.13699667595253,0.2463580815377239,8695.315254056406,DCA
2021-06-29,35901.41,199.13699667595253,0.2463580815377239,9043.739488775209,DCA
2021-06-30,35056.39,199.13699667595253,0.2463580815377239,8835.5619827142,DCA
2021-07-01,33543.11,199.13699667595253,0.2463580815377239,8462.753225084794,DCA
2021-07-02,33804.54,199.13699667595253,0.2463580815377239,8527.158618341202,DCA
2021-07-03,34682.84,199.13699667595253,0.2463580815377239,8743.534921355784,DCA
2021-07-04,35287.97,199.13699667595253,0.2463580815377239,8892.613587236707,DCA
2021-07-05,33702.79,199.13699667595253,0.2463580815377239,8502.091683544739,DCA
2021-07-06,34237.66,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-07,33880.79,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-08,32874.01,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-09,33804.2,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-10,33515.13,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-11,34249.3,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-12,33088.51,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-13,32737.47,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-14,32820.5,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-15,31867.46,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-16,31401.76,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-17,31546.64,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-18,31806.3,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-19,30847.55,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-20,29795.55,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-21,32139.48,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-22,32299.47,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-23,33637.92,8633.861230616822,0.0,8633.861230616822,SELL
2021-07-24,34282.56,8633.861230616822,0.0,8633.861230616822,SELL
