date,whale_holdings_change
2021-01-10,-0.008175105485231997
2021-01-11,-0.007985232067510464
2021-01-12,-0.00834388185654003
2021-01-13,-0.009588607594936663
2021-01-14,-0.011297468354430365
2021-01-15,-0.012426160337552733
2021-01-16,-0.012004219409282696
2021-01-17,-0.010432489451476767
2021-01-18,-0.00864978902953583
2021-01-19,-0.007995780590717266
2021-01-20,-0.008059071729957764
2021-01-21,-0.008296413502109664
2021-01-22,-0.008338607594936664
2021-01-23,-0.007410337552742598
2021-01-24,-0.006782700421940898
2021-01-25,-0.006234177215189832
2021-01-26,-0.00629746835443033
2021-01-27,-0.006729957805907131
2021-01-28,-0.008291139240506297
2021-01-29,-0.01005274261603373
2021-01-30,-0.00996308016877633
2021-01-31,-0.00748417721518983
2021-02-01,-0.003306962025316431
2021-02-02,-0.0008755274261603311
2021-02-03,-0.0012025316455695977
2021-02-04,-0.0044831223628691306
2021-02-05,-0.0070991561181433975
2021-02-06,-0.007921940928269998
2021-02-07,-0.008048523206751031
2021-02-08,-0.008375527426160297
2021-02-09,-0.009018987341772098
2021-02-10,-0.009061181434599096
2021-02-11,-0.009135021097046364
2021-02-12,-0.010042194092826964
2021-02-13,-0.010991561181434564
2021-02-14,-0.012035864978902897
2021-02-15,-0.012204641350210897
2021-02-16,-0.015116033755274197
2021-02-17,-0.017927215189873363
2021-02-18,-0.02080696202531643
2021-02-19,-0.021366033755274228
2021-02-20,-0.021972573839662432
2021-02-21,-0.02078059071729953
2021-02-22,-0.017510548523206697
2021-02-23,-0.014356540084388131
2021-02-24,-0.014641350210970433
2021-02-25,-0.016582278481012635
2021-02-26,-0.018001054852320633
2021-02-27,-0.0174208860759493
2021-02-28,-0.0175685654008438
2021-03-01,-0.018016877637130734
2021-03-02,-0.01819620253164553
2021-03-03,-0.017352320675105466
2021-03-04,-0.016191983122362832
2021-03-05,-0.015991561181434567
2021-03-06,-0.015886075949367032
2021-03-07,-0.016086497890295298
2021-03-08,-0.015886075949367
2021-03-09,-0.015759493670886
2021-03-10,-0.016635021097046333
2021-03-11,-0.01756329113924043
2021-03-12,-0.01861814345991553
2021-03-13,-0.017362869198312165
2021-03-14,-0.014978902953586429
2021-03-15,-0.009630801687763665
2021-03-16,-0.0052109704641349975
2021-03-17,-0.0014873417721518645
2021-03-18,0.00043248945147680227
2021-03-19,0.0021940928270042024
2021-03-20,0.003459915611814269
2021-03-21,0.0035970464135020356
2021-03-22,0.004609704641350136
2021-03-23,0.006497890295358602
2021-03-24,0.008702531645569568
2021-03-25,0.010105485232067469
2021-03-26,0.010870253164556901
2021-03-27,0.011408227848101202
2021-03-28,0.011703586497890236
2021-03-29,0.011424050632911338
2021-03-30,0.010706751054852269
2021-03-31,0.008544303797468303
2021-04-01,0.007647679324894469
2021-04-02,0.007067510548523168
2021-04-03,0.0068354430379746365
2021-04-04,0.005722573839662403
2021-04-05,0.004541139240506269
2021-04-06,0.005237341772151835
2021-04-07,0.006592827004219336
2021-04-08,0.008481012658227802
2021-04-09,0.00997890295358647
2021-04-10,0.012204641350210937
2021-04-11,0.01717299578059067
2021-04-12,0.021698312236286873
2021-04-13,0.024229957805907133
2021-04-14,0.022879746835443002
2021-04-15,0.021276371308016837
2021-04-16,0.021149789029535803
2021-04-17,0.022394514767932434
2021-04-18,0.0239135021097046
2021-04-19,0.0243670886075949
2021-04-20,0.023438818565400806
2021-04-21,0.0224683544303797
2021-04-22,0.021460970464135004
2021-04-23,0.020838607594936668
2021-04-24,0.0202900843881856
2021-04-25,0.01988396624472567
2021-04-26,0.019789029535864935
2021-04-27,0.018670886075949338
2021-04-28,0.01696202531645567
2021-04-29,0.014978902953586469
2021-04-30,0.010232067510548502
2021-05-01,0.006213080168776336
2021-05-02,0.0024367088607594356
2021-05-03,0.001054852320675069
2021-05-04,-0.0012341772151898643
2021-05-05,-0.0035654008438817976
2021-05-06,-0.0037236286919830643
2021-05-07,-0.0018354430379746642
2021-05-08,0.0008966244725738356
2021-05-09,0.003270042194092803
