date,price,volume,sth_mvrv,lth_net_change_30d,whale_holdings_change,mvrv_score,whale_score,lth_score,total_score,strategy_signal
2023-05-29,27746.07,604161699.4,1.0975949367088609,30379.74683544305,0.0051582278481012,1,1,0,2,DCA
2023-05-30,27703.56,656814149.04,1.089240506329114,25949.3670886076,0.0049999999999999,1,1,0,2,DCA
2023-05-31,27220.17,770131646.3,1.0850632911392406,20886.07594936708,0.0051476793248944,1,1,0,2,DCA
2023-06-01,26825.73,645324727.67,1.0865822784810126,8227.848101265816,0.0053902953586497,1,1,0,2,DCA
2023-06-02,27251.14,643162971.0,1.0937974683544305,5063.291139240522,0.005379746835443,1,1,0,2,DCA
2023-06-03,27078.3,219785033.16,1.101012658227848,6962.025316455663,0.0051371308016877,1,1,0,2,DCA
2023-06-04,27125.24,248793311.51,1.110506329113924,21518.987341772154,0.0046202531645569,1,1,0,2,DCA
2023-06-05,25740.46,973121005.98,1.112025316455696,20886.07594936708,0.0043987341772151,1,1,0,2,DCA
2023-06-06,27269.02,1007782393.96,1.108987341772152,2531.6455696202174,0.003428270042194,1,1,0,2,DCA
2023-06-07,26348.91,816508052.84,1.101012658227848,1265.8227848101524,0.0029430379746835,1,1,0,2,DCA
2023-06-08,26509.09,401604313.0,1.0966455696202533,-29746.83544303797,0.0027215189873417,1,1,0,2,DCA
2023-06-09,26483.81,439912147.38,1.0922784810126582,-35443.03797468357,0.00334388185654,1,1,0,2,DCA
2023-06-10,25856.18,809187356.13,1.0926582278481014,-36708.86075949372,0.003723628691983,1,1,0,2,DCA
2023-06-11,25937.58,341057974.45,1.0911392405063292,-58227.84810126579,0.0036919831223628,1,1,0,2,DCA
2023-06-12,25905.64,441188405.58,1.0835443037974684,-59493.67088607594,0.0035654008438818,1,1,0,2,DCA
2023-06-13,25928.94,599487905.69,1.0740506329113924,4430.379746835447,0.0026582278481012,1,1,0,2,DCA
2023-06-14,25125.73,684056303.1,1.070253164556962,17088.607594936708,0.0018354430379746,1,1,0,2,DCA
2023-06-15,25574.36,824201465.11,1.071012658227848,269303.79746835434,0.0011919831223628,1,1,1,3,DCA
2023-06-16,26330.59,715401866.52,1.0721518987341772,260759.49367088603,0.001392405063291,1,1,1,3,DCA
2023-06-17,26510.43,331591669.75,1.0691139240506329,263607.59493670886,0.0017405063291138,1,1,1,3,DCA
2023-06-18,26338.0,248624880.04,1.0641772151898734,258860.7594936709,0.0018776371308016,1,1,1,3,DCA
