date,type,price,amount,btc,cash_after,btc_after
2021-03-25,DCA,51336.09,132.75799778396836,0.0025860558874656,199.13699667595253,0.2463580815377239
2021-07-06,SELL_ALL,34237.66,8434.72423394087,0.2463580815377239,8633.861230616822,0.0
2021-08-17,DCA,44684.43,2000.0,0.0447583196205031,6633.861230616822,0.0447583196205031
2021-08-18,DCA,44714.54,2000.0,0.0447281801400618,4633.861230616822,0.0894864997605649
2021-08-19,DCA,46761.49,1853.5444922467289,0.0396382684180236,2780.316738370093,0.1291247681785886
2021-08-20,DCA,49336.45,1112.1266953480372,0.0225416846033315,1668.1900430220558,0.1516664527819202
2021-08-21,DCA,48867.87,667.2760172088224,0.0136546982139557,1000.9140258132334,0.1653211509958759
2021-08-22,DCA,49289.71,400.36561032529335,0.0081227016820608,600.54841548794,0.1734438526779368
2021-08-23,DCA,49521.06,240.219366195176,0.004850852671473,360.329049292764,0.1782947053494099
2021-08-24,DCA,47690.54,144.13161971710562,0.003022226624339,216.1974295756584,0.1813169319737489
2021-09-01,SELL_ALL,48840.01,8855.520770767218,0.1813169319737489,9071.718200342875,0.0
2021-09-05,DCA,51784.16,2000.0,0.0386218488433528,7071.718200342877,0.0386218488433528
2021-09-06,SELL_ALL,52693.32,2035.1134400944225,0.0386218488433528,9106.8316404373,0.0
2021-09-13,DCA,44958.56,2000.0,0.0444854105647511,7106.8316404373,0.0444854105647511
2021-09-14,DCA,47129.01,2000.0,0.0424367072425242,5106.8316404373,0.0869221178072754
2021-09-15,DCA,48148.45,2000.0,0.0415382011258929,3106.8316404373,0.1284603189331684
2021-09-16,DCA,47764.47,1242.73265617492,0.0260179304025548,1864.09898426238,0.1544782493357233
2021-09-17,SELL_ALL,47297.98,7306.509147516055,0.1544782493357233,9170.608131778436,0.0
2021-10-02,DCA,47669.02,2000.0,0.0419559705653692,7170.608131778436,0.0419559705653692
2021-10-03,DCA,48234.05,2000.0,0.0414644841144378,5170.608131778436,0.0834204546798071
2021-10-04,DCA,49276.91,2000.0,0.0405869605054375,3170.6081317784356,0.1240074151852446
2021-10-05,DCA,51504.27,1268.2432527113742,0.0246240409331376,1902.364879067061,0.1486314561183823
2021-10-06,DCA,55345.85,760.9459516268246,0.0137489251972248,1141.4189274402368,0.1623803813156071
2021-10-07,DCA,53797.21,456.5675709760947,0.0084868261937021,684.8513564641421,0.1708672075093092
2021-10-08,SELL_ALL,53949.29,9218.164529409903,0.1708672075093092,9903.015885874043,0.0
2021-10-09,DCA,54968.04,2000.0,0.036384779228075,7903.015885874045,0.036384779228075
2021-10-10,DCA,54700.24,2000.0,0.0365629108757109,5903.015885874045,0.072947690103786
2021-10-11,DCA,57498.8,2000.0,0.0347833346087222,3903.015885874045,0.1077310247125083
2021-10-12,DCA,56010.9,1561.206354349618,0.02787325956822,2341.8095315244273,0.1356042842807284
2021-10-13,DCA,57369.0,936.7238126097708,0.0163280484688554,1405.0857189146564,0.1519323327495839
2021-10-14,DCA,57359.21,562.0342875658625,0.0097985011921514,843.0514313487938,0.1617308339417353
2021-10-15,DCA,61684.96,337.22057253951755,0.0054668199920939,505.83085880927626,0.1671976539338292
2021-10-16,DCA,60877.77,202.3323435237105,0.0033235833625921,303.49851528556576,0.1705212372964214
2021-10-17,DCA,61520.54,121.39940611422632,0.0019733150280252,182.09910917133945,0.1724945523244466
2022-04-23,BUY,39445.97,145.67928733707157,0.0036931348712446,36.41982183426788,0.1761876871956913
2022-05-31,SELL_ALL,31782.16,5599.625264483412,0.1761876871956913,5636.04508631768,0.0
2022-06-03,DCA,29680.3,2000.0,0.0673847636310953,3636.04508631768,0.0673847636310953
2022-06-04,DCA,29845.48,1454.4180345270722,0.0487316013857734,2181.627051790608,0.1161163650168687
2022-06-05,DCA,29897.9,872.6508207162432,0.0291876961497711,1308.9762310743645,0.1453040611666399
2022-06-06,DCA,31353.78,523.5904924297458,0.0166994375934814,785.3857386446186,0.1620034987601213
