date,price,z_score,total_value,position,cash,borrowed,peak,dd
2024-06-25,61804.640625,2.774102769280218,56169.03888405463,0.6624321906442767,20659.033537814863,5431.378134961245,63764.32406830564,-11.911496428809924
2024-06-26,60811.27734375,2.700223072460191,55509.812630507324,0.6624321906442767,20657.843098771584,5431.378134961245,63764.32406830564,-12.945344529890912
2024-06-27,61604.80078125,2.77481067828404,56034.27766049475,0.6624321906442767,20656.652659728305,5431.378134961245,63764.32406830564,-12.122839096561753
2024-06-28,60320.13671875,2.6760959985793833,55182.084392287616,0.6624321906442767,20655.462220685025,5431.378134961245,63764.32406830564,-13.459312556696371
2024-06-29,60887.37890625,2.743872807592777,55556.653438135814,0.6624321906442767,20654.271781641746,5431.378134961245,63764.32406830564,-12.871885258875487
2024-06-30,62678.29296875,2.926012128543809,56741.82212477005,0.6624321906442767,20653.081342598467,5431.378134961245,63764.32406830564,-11.013214750011223
2024-07-01,62851.98046875,2.9437048568370097,56855.6878768393,0.6624321906442767,20651.890903555188,5431.378134961245,63764.32406830564,-10.834641929342293
2024-07-02,62029.015625,2.8855777282834865,56309.33903352748,0.6624321906442767,20650.70046451191,5431.378134961245,63764.32406830564,-11.69146720161611
2024-07-03,60173.921875,2.73139792317994,55079.2747778212,0.6624321906442767,20649.51002546863,5431.378134961245,63764.32406830564,-13.620546312356172
2024-07-04,56977.703125,2.4900837637036437,52960.80615043711,0.6624321906442767,20648.31958642535,5431.378134961245,63764.32406830564,-16.942887854179382
2024-07-05,56662.375,2.435072873492965,52750.73221077832,0.6624321906442767,20647.12914738207,5431.378134961245,63764.32406830564,-17.27234157728911
2024-07-06,58303.5390625,2.5946170314096584,53836.70167686358,0.6624321906442767,20645.938708338792,5431.378134961245,63764.32406830564,-15.569242733299252
2024-07-07,55849.109375,2.4042617348657336,52209.61800314733,0.6624321906442767,20644.748269295513,5431.378134961245,63764.32406830564,-18.12095750090706
2024-07-08,56705.09765625,2.4740068569542313,52775.46175641831,0.6624321906442767,20643.557830252234,5431.378134961245,63764.32406830564,-17.23355884728871
2024-07-09,58009.2265625,2.6083319585071325,53638.16828562474,0.6624321906442767,20642.367391208954,5431.378134961245,63764.32406830564,-15.880597701990155
2024-07-10,57742.49609375,2.5963059557010504,53460.28699785583,0.6624321906442767,20641.176952165675,5431.378134961245,63764.32406830564,-16.159564491598655
2024-07-11,57344.9140625,2.571965068912355,53195.72542289082,0.6624321906442767,20639.986513122396,5431.378134961245,63764.32406830564,-16.57446981496036
2024-07-12,57899.46484375,2.63965842875428,53561.88727269447,0.6624321906442767,20638.796074079117,5431.378134961245,63764.32406830564,-16.00022731313221
2024-07-13,59231.953125,2.800570066338001,54443.37996480746,0.6624321906442767,20637.605635035838,5431.378134961245,63764.32406830564,-14.61780429682498
2024-07-14,60787.79296875,2.982985918625288,55472.82792175114,0.6624321906442767,20636.41519599256,5431.378134961245,63764.32406830564,-13.003346726725255
2024-07-15,64870.15234375,3.3648753116308923,58175.9237464863,0.6624321906442767,20635.22475694928,5431.378134961245,63764.32406830564,-8.764148924142804
2024-07-16,65097.1484375,3.4201713125719393,58325.102827093535,0.6624321906442767,20634.034317906,5431.378134961245,63764.32406830564,-8.530195090573693
2024-07-17,64118.79296875,3.351141478033602,57675.81823165739,0.6624321906442767,20632.84387886272,5431.378134961245,63764.32406830564,-9.548451937052016
2024-07-18,63974.06640625,3.3510615717117904,57578.75625877281,0.6624321906442767,20631.65343981944,5431.378134961245,63764.32406830564,-9.700671809688952
2024-07-19,66710.15625,3.643025165780959,59390.0398087244,0.6624321906442767,20630.463000776163,5431.378134961245,63764.32406830564,-6.860080967682521
2024-07-20,67163.6484375,3.7019875682688697,59689.25719288681,0.6624321906442767,20629.272561732883,5431.378134961245,63764.32406830564,-6.390825802612657
2024-07-21,68154.5234375,3.812936612931612,60344.45425074819,0.6624321906442767,20628.082122689604,5431.378134961245,63764.32406830564,-5.363296588691224
2024-07-22,67585.25,3.776286260775908,59966.15876142618,0.6624321906442767,20626.891683646325,5431.378134961245,63764.32406830564,-5.956567974924019
2024-07-23,65927.671875,3.621598172955259,58866.93521387512,0.6624321906442767,20625.701244603046,5431.378134961245,63764.32406830564,-7.6804528644957335
2024-07-24,65372.1328125,3.586326666705357,58497.7378166715,0.6624321906442767,20624.510805559767,5431.378134961245,63764.32406830564,-8.25945593964498
2024-07-25,65777.2265625,3.647670041371763,58764.89451785702,0.6624321906442767,20623.320366516487,5431.378134961245,63764.32406830564,-7.840480744519664
