参数组合,盈利目标,回撤阈值,总收益率,最大回撤,夏普比率,卡尔玛比率,胜率,交易次数,波动率,回撤绝对值,收益得分,胜率得分,回撤得分,夏普得分,综合得分
盈利20/40/80%+回撤3/6/10%,20/40/80,3/6/10,294.12783732787756,-61.40801991548675,0.5662921588948763,0.34200159168663674,63.63636363636363,22,31.788609943940422,61.40801991548675,0.25559265756122,69.69696969696969,34.859481510568806,19.107586383278154,33.50937672777905
盈利40/80/200%+回撤8/15/20%,40/80/200,8/15/20,571.491967699819,-66.43309851055997,0.6301486855862588,0.45557590996021385,58.82352941176471,17,43.26807296290494,66.43309851055997,53.961930181645975,45.098039215686306,0.0,32.07099763398117,33.43409383691362
盈利30/60/120%+回撤10/18/25%,30/60/120,10/18/25,549.1673173109084,-66.26286851143021,0.6338695715493914,0.4475390646967731,58.82352941176471,17,42.05158820382617,66.26286851143021,49.63918229320699,45.098039215686306,1.1809028246893556,32.826368736298974,32.799706791439775
盈利35/70/150%+回撤7/12/18%,35/70/150,7/12/18,531.9765380147015,-65.9700810571942,0.6178231962192064,0.44221542106597644,58.82352941176471,17,42.36323163751436,65.9700810571942,46.310511805260106,45.098039215686306,3.211999185545046,29.568819770417075,31.82380346649059
盈利35/70/150%+回撤5/8/12%,35/70/150,5/8/12,354.9095185480448,-54.69920370638105,0.5758568291296289,0.4282277709937078,52.63157894736842,19,35.46665949795798,54.69920370638105,12.024819927555221,13.450292397660805,81.39922216824036,21.049294774805634,31.600957198208263
盈利35/70/150%+回撤8/15/20%,35/70/150,8/15/20,516.9365245554026,-65.9700810571942,0.6044111890507426,0.43567825337937166,58.82352941176471,17,42.58976365199754,65.9700810571942,43.39829659513646,45.098039215686306,3.211999185545046,26.846069667479888,30.551199643372243
盈利35/70/150%+回撤5/10/15%,35/70/150,5/10/15,390.97000928031457,-54.88676366876081,0.599699617722654,0.45099861181018586,50.0,20,36.274584105913966,54.88676366876081,19.00725447651566,0.0,80.09809962517994,25.889581115288145,29.954254748481528
盈利15/30/60%+回撤5/8/12%,15/30/60,5/8/12,292.8078397547396,-66.31772413817585,0.4919615005377553,0.3162146101094535,67.85714285714286,28,36.52853579407363,66.31772413817585,0.0,91.26984126984131,0.8003637604516438,4.017838431971247,28.38461100745955
盈利40/80/200%+回撤5/8/12%,40/80/200,5/8/12,344.34756557605294,-65.14074212528132,0.48725275037829496,0.3536289202818321,52.63157894736842,19,41.11962485294366,65.14074212528132,9.979696751509934,13.450292397660805,8.965207740602557,3.0619226007061067,9.383698362467586
盈利40/80/200%+回撤3/6/10%,40/80/200,3/6/10,333.6085725504627,-65.14074212528132,0.48442027079015126,0.34721704306991996,52.63157894736842,19,40.497842569884476,65.14074212528132,7.900293105019221,13.450292397660805,8.965207740602557,2.4869054542554547,8.748844021554778
盈利40/80/200%+回撤5/10/15%,40/80/200,5/10/15,328.750471978267,-65.14074212528132,0.4721700118538704,0.3442714203626999,52.63157894736842,19,41.14216347344619,65.14074212528132,6.95961346952917,13.450292397660805,8.965207740602557,0.0,8.016293021831173
