total_value,date,peak,dd
28005.846933023004,2023-04-09 00:00:00+00:00,29272.105042559695,-4.325818412087672
28985.24533239931,2023-04-10 00:00:00+00:00,29272.105042559695,-0.9799763622852188
29417.151962984106,2023-04-11 00:00:00+00:00,29417.151962984106,0.0
29345.914846421696,2023-04-12 00:00:00+00:00,29417.151962984106,-0.24216184031699706
29538.84707338953,2023-04-13 00:00:00+00:00,29538.84707338953,0.0
29603.12931410242,2023-04-14 00:00:00+00:00,29603.12931410242,0.0
29479.063256230897,2023-04-15 00:00:00+00:00,29603.12931410242,-0.41909778035669415
29476.732887327787,2023-04-16 00:00:00+00:00,29603.12931410242,-0.42696981604043155
28830.955491272594,2023-04-17 00:00:00+00:00,29603.12931410242,-2.608419585094259
29537.723916735355,2023-04-18 00:00:00+00:00,29603.12931410242,-0.22094082241470686
28369.155502874095,2023-04-19 00:00:00+00:00,29603.12931410242,-4.16838976087735
27941.245860743766,2023-04-20 00:00:00+00:00,29603.12931410242,-5.613877626670242
27222.182130695193,2023-04-21 00:00:00+00:00,29603.12931410242,-8.04289018956177
27623.304124314902,2023-04-22 00:00:00+00:00,29603.12931410242,-6.6878915697752435
27455.52480946297,2023-04-23 00:00:00+00:00,29603.12931410242,-7.254653661281574
27406.51894848122,2023-04-24 00:00:00+00:00,29603.12931410242,-7.420196501235335
27986.96051042019,2023-04-25 00:00:00+00:00,29603.12931410242,-5.459452568456388
28072.368240872278,2023-04-26 00:00:00+00:00,29603.12931410242,-5.170943439756267
28852.282424592348,2023-04-27 00:00:00+00:00,29603.12931410242,-2.536376751063218
28753.205515350375,2023-04-28 00:00:00+00:00,29603.12931410242,-2.8710606562366277
28685.108889716474,2023-04-29 00:00:00+00:00,29603.12931410242,-3.101092504935344
28700.185275101452,2023-04-30 00:00:00+00:00,29603.12931410242,-3.0501641546754397
27826.66504197103,2023-05-01 00:00:00+00:00,29603.12931410242,-6.000934067754496
28263.684571492497,2023-05-02 00:00:00+00:00,29603.12931410242,-4.524672808735246
28505.409621986386,2023-05-03 00:00:00+00:00,29603.12931410242,-3.7081204506075682
28387.72889084813,2023-05-04 00:00:00+00:00,29603.12931410242,-4.105648461547254
28897.246370853467,2023-05-05 00:00:00+00:00,29603.12931410242,-2.3844875849415157
28429.95813181064,2023-05-06 00:00:00+00:00,29603.12931410242,-3.9629971880469532
28096.31828844242,2023-05-07 00:00:00+00:00,29603.12931410242,-5.090039670036446
27531.869028024485,2023-05-08 00:00:00+00:00,29603.12931410242,-6.996761268381261
27505.52919294114,2023-05-09 00:00:00+00:00,29603.12931410242,-7.085737791112582
27478.060404266053,2023-05-10 00:00:00+00:00,29603.12931410242,-7.178527943071285
27017.29806769257,2023-05-11 00:00:00+00:00,29603.12931410242,-8.7349929089355
26872.013769080728,2023-05-12 00:00:00+00:00,29603.12931410242,-9.225766357479772
26856.496816440434,2023-05-13 00:00:00+00:00,29603.12931410242,-9.278182953291829
26965.245916017826,2023-05-14 00:00:00+00:00,29603.12931410242,-8.910826183595237
27159.6925929258,2023-05-15 00:00:00+00:00,29603.12931410242,-8.25398117628264
27043.907460372913,2023-05-16 00:00:00+00:00,29603.12931410242,-8.645105814912409
27312.627399895548,2023-05-17 00:00:00+00:00,29603.12931410242,-7.737364147903507
26892.210299574344,2023-05-18 00:00:00+00:00,29603.12931410242,-9.1575420482207
26935.187345483373,2023-05-19 00:00:00+00:00,29603.12931410242,-9.012364673717405
27112.866380470343,2023-05-20 00:00:00+00:00,29603.12931410242,-8.41216111718892
26834.049624935295,2023-05-21 00:00:00+00:00,29603.12931410242,-9.354010043282772
26906.35917494814,2023-05-22 00:00:00+00:00,29603.12931410242,-9.109746846491626
27184.203494205834,2023-05-23 00:00:00+00:00,29603.12931410242,-8.171182830810569
26523.142472247535,2023-05-24 00:00:00+00:00,29603.12931410242,-10.40426101299917
26628.053999153635,2023-05-25 00:00:00+00:00,29603.12931410242,-10.049867645348938
26808.424262407443,2023-05-26 00:00:00+00:00,29603.12931410242,-9.44057306253643
26919.0298312416,2023-05-27 00:00:00+00:00,29603.12931410242,-9.06694510023358
27822.270963293027,2023-05-28 00:00:00+00:00,29603.12931410242,-6.015777358919363
27570.1650468458,2023-05-29 00:00:00+00:00,29603.12931410242,-6.867396502869558
27537.861612237393,2023-05-30 00:00:00+00:00,29603.12931410242,-6.976518191545278
27179.700722948393,2023-05-31 00:00:00+00:00,29603.12931410242,-8.186393287818895
26883.13084610545,2023-06-01 00:00:00+00:00,29603.12931410242,-9.18821263501089
27201.910240013167,2023-06-02 00:00:00+00:00,29603.12931410242,-8.111369067138979
27072.458827139184,2023-06-03 00:00:00+00:00,29603.12931410242,-8.548658691152863
27105.06080403244,2023-06-04 00:00:00+00:00,29603.12931410242,-8.43852852029378
26096.69510761922,2023-06-05 00:00:00+00:00,29603.12931410242,-11.844809274311405
27193.89162611957,2023-06-06 00:00:00+00:00,29603.12931410242,-8.138456115297014
26531.437889910096,2023-06-07 00:00:00+00:00,29603.12931410242,-10.376238915826459
26651.80550161201,2023-06-08 00:00:00+00:00,29603.12931410242,-9.969634565236497
26631.14666534719,2023-06-09 00:00:00+00:00,29603.12931410242,-10.039420553216411
26164.32363054435,2023-06-10 00:00:00+00:00,29603.12931410242,-11.616358686511848
26230.308721668407,2023-06-11 00:00:00+00:00,29603.12931410242,-11.393459646265372
26202.358787175017,2023-06-12 00:00:00+00:00,29603.12931410242,-11.487875119024448
26214.400475742143,2023-06-13 00:00:00+00:00,29603.12931410242,-11.447198039113882
25625.20698730698,2023-06-14 00:00:00+00:00,29603.12931410242,-13.437506165608063
25795.297787754193,2023-06-15 00:00:00+00:00,29603.12931410242,-12.862935826633178
26078.106102522324,2023-06-16 00:00:00+00:00,29603.12931410242,-11.90760332861444
26147.093336766316,2023-06-17 00:00:00+00:00,29603.12931410242,-11.674562985102082
26081.400839576992,2023-06-18 00:00:00+00:00,29603.12931410242,-11.896473636818316
26275.250518436722,2023-06-19 00:00:00+00:00,29603.12931410242,-11.241645301601123
26831.19841849582,2023-06-20 00:00:00+00:00,29603.12931410242,-9.363641479234094
27471.246688172436,2023-06-21 00:00:00+00:00,29603.12931410242,-7.201544820852414
27427.93854628064,2023-06-22 00:00:00+00:00,29603.12931410242,-7.347840644622525
