date,price,z_score,rsi,total_value,position,cash,peak,dd
2021-09-03,50025.375,3.0942962451742857,52.583943942153496,37825.43753282909,0.37519433986519113,19056.19998319546,39949.61201922362,-5.317134207392007
2021-09-04,49944.625,3.0977281829075034,54.01979296747029,37795.14058988498,0.37519433986519113,19056.19998319546,39949.61201922362,-5.392972097706275
2021-09-05,51753.41015625,3.2903183751371983,58.49206245273321,38473.786542542155,0.37519433986519113,19056.19998319546,39949.61201922362,-3.6942172954553403
2021-09-06,52633.53515625,3.3800006966280653,60.30953210172689,38804.00446091601,0.37519433986519113,19056.19998319546,39949.61201922362,-2.867631249475831
2021-09-07,46811.12890625,2.774347331656346,47.63927988026442,36619.470591520294,0.37519433986519113,19056.19998319546,39949.61201922362,-8.335854240839367
2021-09-08,46091.390625,2.7101252203331048,42.211567619148596,36349.42886221099,0.37519433986519113,19056.19998319546,39949.61201922362,-9.011810065339896
2021-09-09,46391.421875,2.7440269506358,48.351140510650154,36461.99888899367,0.37519433986519113,19056.19998319546,39949.61201922362,-8.730030040220965
2021-09-10,44883.91015625,2.568620539396062,37.02961419601759,35896.38902483822,0.37519433986519113,19056.19998319546,39949.61201922362,-10.145838193459799
2021-09-11,45201.45703125,2.604404246321551,38.61577082017609,36015.530814980106,0.37519433986519113,19056.19998319546,39949.61201922362,-9.847608037721235
2021-09-12,46063.26953125,2.720512839432322,41.884031398613416,36338.87798700518,0.37519433986519113,19056.19998319546,39949.61201922362,-9.038220522594727
2021-09-13,44963.07421875,2.5932776181585586,43.61026111438171,35926.09093300896,0.37519433986519113,19056.19998319546,39949.61201922362,-10.071489766355054
2021-09-14,47092.4921875,2.8081481888136084,49.798239840716334,36725.03650209119,0.37519433986519113,19056.19998319546,39949.61201922362,-8.07160659177559
2021-09-15,48176.34765625,2.925044401181976,48.11506477070175,37131.692939198125,0.37519433986519113,19056.19998319546,39949.61201922362,-7.053683221427836
2021-09-16,47783.359375,2.8828693839512645,45.6380859242692,36984.24596043977,0.37519433986519113,19056.19998319546,39949.61201922362,-7.42276560122016
2021-09-17,47267.51953125,2.8197113265355913,42.12985887250949,36790.705770787834,0.37519433986519113,19056.19998319546,39949.61201922362,-7.907226350322828
2021-09-18,48278.36328125,2.9247722433527645,45.484654220055084,37169.968624275934,0.37519433986519113,19056.19998319546,39949.61201922362,-6.957873317042804
2021-09-19,47260.21875,2.8196251832681587,37.27894924151922,36787.96655898624,0.37519433986519113,19056.19998319546,39949.61201922362,-7.914083017166737
2021-09-20,42843.80078125,2.354905104725713,26.907463703162037,35130.95153463232,0.37519433986519113,19056.19998319546,39949.61201922362,-12.06184551247351
2021-09-21,40693.67578125,2.1070473429992607,32.545966978314254,34324.23680462967,0.37519433986519113,19056.19998319546,39949.61201922362,-14.081176087234686
2021-09-22,43574.5078125,2.433015171905573,43.607287542583556,35405.10867685701,0.37519433986519113,19056.19998319546,39949.61201922362,-11.375588178878457
2021-09-23,44895.09765625,2.571435676394336,46.38675874642293,35900.58651151547,0.37519433986519113,19056.19998319546,39949.61201922362,-10.135331241163932
2021-09-24,42839.75,2.3534994904920374,45.19110687660552,35129.43170443528,0.37519433986519113,19056.19998319546,39949.61201922362,-12.065649880326461
2021-09-25,42716.59375,2.3510261306402827,44.1003930629062,35083.22417651626,0.37519433986519113,19056.19998319546,39949.61201922362,-12.18131440266721
2021-09-26,43208.5390625,2.385326831844683,43.10108272100228,35267.79927328947,0.37519433986519113,19056.19998319546,39949.61201922362,-11.71929465467969
2021-09-27,42235.73046875,2.325878976837116,43.3681006209783,34902.80699514225,0.37519433986519113,19056.19998319546,39949.61201922362,-12.632926251330959
2021-09-28,41034.54296875,2.1968144885291667,34.57287381934117,34452.128244025436,0.37519433986519113,19056.19998319546,39949.61201922362,-13.761044218784432
2021-09-29,41564.36328125,2.237553142854088,32.673039489060486,34650.91382642104,0.37519433986519113,19056.19998319546,39949.61201922362,-13.263453447940526
2021-09-30,43790.89453125,2.505942849451551,40.45485525541388,35486.29574895401,0.37519433986519113,19056.19998319546,39949.61201922362,-11.172364497862642
2021-10-01,48116.94140625,2.983745722748642,51.717822467347055,37109.40405044551,0.37519433986519113,19056.19998319546,39949.61201922362,-7.109475725099432
2021-10-02,47711.48828125,2.9589443614072115,48.82480833492055,36957.28033286486,0.37519433986519113,19056.19998319546,39949.61201922362,-7.4902646987381525
2021-10-03,48199.953125,3.018633903732485,51.99191417245459,37140.549577462996,0.37519433986519113,19056.19998319546,39949.61201922362,-7.031513698828694
2021-10-04,49112.90234375,3.148917885386718,65.60622627058947,37483.08295692234,0.37519433986519113,19056.19998319546,39949.61201922362,-6.174100166766054
2021-10-05,51514.8125,3.4099593891191327,76.60449883342876,38384.26605241206,0.37519433986519113,19056.19998319546,39949.61201922362,-3.918300798661879
2021-10-06,55361.44921875,3.834687332293203,77.66517790590277,39827.50237680467,0.37519433986519113,19056.19998319546,39949.61201922362,-0.3056591447250951
2021-10-07,53805.984375,3.6520350744430305,70.68669668787885,39243.90077157038,0.37519433986519113,19056.19998319546,39949.61201922362,-1.7665033825951957
2021-10-08,53967.84765625,3.662858635119104,78.32407522482438,39304.630958527385,0.37519433986519113,19056.19998319546,39949.61201922362,-1.6144864195073332
2021-10-09,54968.22265625,3.779546866525609,79.85077737802258,39679.965996270024,0.37519433986519113,19056.19998319546,39949.61201922362,-0.6749653108616983
2021-10-10,54771.578125,3.7355087590697704,78.58437094912682,39606.18608117958,0.37519433986519113,19056.19998319546,39949.61201922362,-0.8596477429587709
2021-10-11,57484.7890625,4.006387251375244,84.70971233083527,40624.16746778991,0.37519433986519113,19056.19998319546,40624.16746778991,0.0
2021-10-12,56041.05859375,3.871779890852835,83.78460759155259,40082.48796762399,0.37519433986519113,19056.19998319546,40624.16746778991,-1.3333922488267758
2021-10-13,57401.09765625,3.989710213325086,84.3689270347263,40592.76692586955,0.37519433986519113,19056.19998319546,40624.16746778991,-0.07729522566893217
2021-10-14,57321.5234375,3.9801621900167334,82.38175768844962,40562.911129395354,0.37519433986519113,19056.19998319546,40624.16746778991,-0.15078792308327676
2021-10-15,61593.94921875,4.405541704830101,82.3364234060732,42165.90110001447,0.3189151888854125,22522.65515071831,42165.90110001447,0.0
