date,price,account_value,positions
2020-05-01 00:00:00+00:00,8864.7666015625,113285.95368580801,2
2020-05-02 00:00:00+00:00,8988.5966796875,113902.20699366952,2
2020-05-03 00:00:00+00:00,8897.46875,113448.69934061123,2
2020-05-04 00:00:00+00:00,8912.654296875,113524.27179954127,2
2020-05-05 00:00:00+00:00,9003.0703125,113974.23653796548,2
2020-05-06 00:00:00+00:00,9268.76171875,115296.47755122447,2
2020-05-07 00:00:00+00:00,9951.5185546875,100000.0,0
2020-05-08 00:00:00+00:00,9842.666015625,100000.0,0
2020-05-09 00:00:00+00:00,9593.896484375,100000.0,0
2020-05-11 00:00:00+00:00,8601.7958984375,100000.0,0
2020-05-12 00:00:00+00:00,8804.4775390625,100000.0,0
2020-05-13 00:00:00+00:00,9269.9873046875,100000.0,0
2020-05-14 00:00:00+00:00,9733.7216796875,100000.0,0
2020-05-15 00:00:00+00:00,9328.197265625,100000.0,0
2020-05-16 00:00:00+00:00,9377.013671875,100000.0,0
2020-05-17 00:00:00+00:00,9670.7392578125,100000.0,0
2020-05-18 00:00:00+00:00,9726.5751953125,100000.0,0
2020-05-19 00:00:00+00:00,9729.0380859375,100000.0,0
2020-05-20 00:00:00+00:00,9522.9814453125,100000.0,0
2020-05-21 00:00:00+00:00,9081.76171875,100000.0,0
2020-05-22 00:00:00+00:00,9182.5771484375,100000.0,0
2020-05-23 00:00:00+00:00,9209.287109375,100000.0,0
2020-05-24 00:00:00+00:00,8790.3681640625,100000.0,0
2020-05-25 00:00:00+00:00,8906.9345703125,100000.0,0
2020-05-26 00:00:00+00:00,8835.052734375,100000.0,0
2020-05-27 00:00:00+00:00,9181.017578125,100000.0,0
2020-05-28 00:00:00+00:00,9525.7509765625,100000.0,0
2020-05-29 00:00:00+00:00,9439.1240234375,100000.0,0
2020-05-30 00:00:00+00:00,9700.4140625,100000.0,0
2020-05-31 00:00:00+00:00,9461.05859375,100000.0,0
2020-06-01 00:00:00+00:00,10167.2685546875,100000.0,0
2020-06-02 00:00:00+00:00,9529.8037109375,100000.0,0
2020-06-03 00:00:00+00:00,9656.7177734375,100000.0,0
2020-06-04 00:00:00+00:00,9800.63671875,100000.0,0
2020-06-05 00:00:00+00:00,9665.533203125,100000.0,0
2020-06-06 00:00:00+00:00,9653.6796875,100000.0,0
2020-06-07 00:00:00+00:00,9758.8525390625,100000.0,0
2020-06-08 00:00:00+00:00,9771.4892578125,100000.0,0
2020-06-09 00:00:00+00:00,9795.7001953125,100000.0,0
2020-06-10 00:00:00+00:00,9870.0947265625,100000.0,0
2020-06-12 00:00:00+00:00,9480.84375,100000.0,0
2020-06-13 00:00:00+00:00,9475.27734375,100000.0,0
2020-06-14 00:00:00+00:00,9386.7880859375,100000.0,0
2020-06-15 00:00:00+00:00,9450.7021484375,100000.0,0
2020-06-16 00:00:00+00:00,9538.0244140625,100000.0,0
2020-06-17 00:00:00+00:00,9480.2548828125,100000.0,0
2020-06-18 00:00:00+00:00,9411.8408203125,100000.0,0
2020-06-19 00:00:00+00:00,9288.0185546875,100000.0,0
2020-06-20 00:00:00+00:00,9332.3408203125,100000.0,0
2020-06-21 00:00:00+00:00,9303.6298828125,100000.0,0
2020-06-22 00:00:00+00:00,9648.7177734375,100000.0,2
2020-06-23 00:00:00+00:00,9629.658203125,99891.355888751,2
2020-06-24 00:00:00+00:00,9313.6103515625,98089.8075126765,2
2020-06-25 00:00:00+00:00,9264.8134765625,97811.65364933225,2
2020-06-26 00:00:00+00:00,9162.91796875,97230.82487381186,2
2020-06-28 00:00:00+00:00,9143.58203125,97120.60540346651,2
2020-06-29 00:00:00+00:00,9190.8544921875,97390.06974190121,2
2020-06-30 00:00:00+00:00,9137.9931640625,97088.74752322478,2
2020-07-01 00:00:00+00:00,9228.3251953125,97603.6617154947,2
2020-07-02 00:00:00+00:00,9123.41015625,97005.62088935271,2
2020-07-03 00:00:00+00:00,9087.3037109375,96799.80551172249,2
2020-07-04 00:00:00+00:00,9132.48828125,97057.36837401586,2
2020-07-05 00:00:00+00:00,9073.9423828125,96723.64274438587,2
2020-07-06 00:00:00+00:00,9375.474609375,98442.44858474252,2
2020-07-07 00:00:00+00:00,9252.27734375,97740.19469272502,2
2020-07-08 00:00:00+00:00,9428.3330078125,98743.75410349922,2
2020-07-09 00:00:00+00:00,9277.9677734375,97886.63628900658,2
2020-07-10 00:00:00+00:00,9278.8076171875,97891.42359933471,2
2020-07-11 00:00:00+00:00,9240.3466796875,97672.18705286598,2
2020-07-12 00:00:00+00:00,9276.5,97878.26962921218,2
2020-07-13 00:00:00+00:00,9243.6142578125,97690.81303002636,2
2020-07-14 00:00:00+00:00,9243.2138671875,97688.53070766063,2
2020-07-15 00:00:00+00:00,9192.8369140625,97401.37002093159,2
2020-07-16 00:00:00+00:00,9132.2275390625,97055.88208115817,2
2020-07-17 00:00:00+00:00,9151.392578125,97165.12738951814,2
2020-07-18 00:00:00+00:00,9159.0400390625,97208.71974670372,2
2020-07-19 00:00:00+00:00,9185.8173828125,97361.35701321227,2
2020-07-20 00:00:00+00:00,9164.2314453125,97238.31200449946,2
2020-07-21 00:00:00+00:00,9374.8876953125,98439.10303415275,2
2020-07-22 00:00:00+00:00,9525.36328125,99296.84987895595,2
2020-07-23 00:00:00+00:00,9581.072265625,99614.4044196287,2
2020-07-24 00:00:00+00:00,9536.892578125,99362.56962980934,2
2020-07-25 00:00:00+00:00,9677.11328125,100161.86118885007,2
2020-07-26 00:00:00+00:00,9905.1669921875,101461.8219086146,2
2020-07-27 00:00:00+00:00,10990.873046875,107650.60620202632,4
2020-07-28 00:00:00+00:00,10912.8232421875,106809.42106605449,4
2020-07-29 00:00:00+00:00,11100.4677734375,108831.76809390272,4
2020-07-30 00:00:00+00:00,11111.2138671875,108947.58458272612,4
2020-07-31 00:00:00+00:00,11323.466796875,111235.14968598886,4
2020-08-01 00:00:00+00:00,11759.5927734375,115935.51620662824,4
2020-08-02 00:00:00+00:00,11053.6142578125,108326.80230866373,4
2020-08-03 00:00:00+00:00,11246.3486328125,110404.00534703063,4
2020-08-04 00:00:00+00:00,11205.892578125,109967.98847294052,4
2020-08-05 00:00:00+00:00,11747.0224609375,115800.039121556,4
2020-08-06 00:00:00+00:00,11779.7734375,116153.01418386704,4
2020-08-07 00:00:00+00:00,11601.47265625,114231.36982459959,4
2020-08-08 00:00:00+00:00,11754.0458984375,115875.7345221029,4
2020-08-09 00:00:00+00:00,11675.7392578125,115031.78132573844,4
2020-08-10 00:00:00+00:00,11878.111328125,117212.85504096815,4
2020-08-11 00:00:00+00:00,11410.525390625,112173.42743459209,4
2020-08-12 00:00:00+00:00,11584.9345703125,114053.12989019167,4
2020-08-13 00:00:00+00:00,11784.1376953125,116200.05016065294,4
2020-08-14 00:00:00+00:00,11768.87109375,116035.51370393025,4
2020-08-15 00:00:00+00:00,11865.6982421875,117079.07247195374,4
2020-08-16 00:00:00+00:00,11892.8037109375,117371.20283034911,4
2020-08-17 00:00:00+00:00,12254.40234375,121268.34768967917,4
2020-08-18 00:00:00+00:00,11991.2333984375,118432.03303222932,4
2020-08-19 00:00:00+00:00,11758.283203125,115921.40225610913,4
2020-08-20 00:00:00+00:00,11878.3720703125,117215.6652011386,4
2020-08-21 00:00:00+00:00,11592.4892578125,114134.55086052409,4
2020-08-22 00:00:00+00:00,11681.8251953125,115097.372779605,4
2020-08-23 00:00:00+00:00,11664.84765625,114914.39662019067,4
2020-08-24 00:00:00+00:00,11774.595703125,116097.21092834708,4
2020-08-25 00:00:00+00:00,11366.134765625,111695.0055592779,4
2020-08-26 00:00:00+00:00,11488.36328125,113012.32865761635,4
2020-08-28 00:00:00+00:00,11542.5,113595.78947862827,4
2020-08-29 00:00:00+00:00,11506.865234375,113211.73425533068,4
2020-08-30 00:00:00+00:00,11711.505859375,115417.25741653793,4
2020-08-31 00:00:00+00:00,11680.8203125,115086.54261175699,4
2020-09-01 00:00:00+00:00,11970.478515625,118208.3463876488,4
2020-09-03 00:00:00+00:00,10245.296875,99615.12685615085,4
2020-09-04 00:00:00+00:00,10511.8134765625,102487.52102320512,4
2020-09-05 00:00:00+00:00,10169.5673828125,98798.9489882129,4
2020-09-06 00:00:00+00:00,10280.3515625,99992.93026243997,4
2020-09-07 00:00:00+00:00,10369.5634765625,100954.41551357461,4
2020-09-08 00:00:00+00:00,10131.5166015625,98388.85505232454,4
2020-09-09 00:00:00+00:00,10242.34765625,99583.34152388563,4
2020-09-10 00:00:00+00:00,10363.138671875,100885.1719039809,4
2020-09-11 00:00:00+00:00,10400.9150390625,101292.30833047636,4
2020-09-12 00:00:00+00:00,10442.1708984375,101736.94513407815,4
2020-09-13 00:00:00+00:00,10323.755859375,100460.72194385088,4
2020-09-14 00:00:00+00:00,10680.837890625,104309.1889350595,4
2020-09-15 00:00:00+00:00,10796.951171875,105560.60483119763,4
2020-09-16 00:00:00+00:00,10974.9052734375,107478.51283518228,4
2020-09-17 00:00:00+00:00,10948.990234375,107199.21238408206,4
2020-09-18 00:00:00+00:00,10944.5859375,107151.74488457336,4
2020-09-19 00:00:00+00:00,11094.3466796875,108765.79774203565,4
2020-09-20 00:00:00+00:00,10938.271484375,107083.69059370349,4
2020-09-21 00:00:00+00:00,10462.259765625,101953.45376653784,4
2020-09-22 00:00:00+00:00,10538.4599609375,102774.7046577049,4
2020-09-24 00:00:00+00:00,10760.06640625,105163.07767899295,4
2020-09-25 00:00:00+00:00,10692.716796875,104437.214359455,4
2020-09-26 00:00:00+00:00,10750.7236328125,105062.38553535668,4
2020-09-27 00:00:00+00:00,10775.26953125,105326.93001432583,4
2020-09-28 00:00:00+00:00,10709.65234375,104619.73794625758,4
2020-09-29 00:00:00+00:00,10844.640625,106074.57996889327,4
2020-09-30 00:00:00+00:00,10784.4912109375,105426.31706484924,4
2020-10-01 00:00:00+00:00,10619.4521484375,103647.60145133075,4
2020-10-02 00:00:00+00:00,10575.974609375,103179.02039908546,4
2020-10-03 00:00:00+00:00,10549.3291015625,102891.84728953012,4
2020-10-04 00:00:00+00:00,10669.5830078125,104187.88895017312,4
2020-10-05 00:00:00+00:00,10793.33984375,105521.68358658942,4
2020-10-06 00:00:00+00:00,10604.40625,103485.44363205573,4
2020-10-07 00:00:00+00:00,10668.96875,104181.26876010859,4
2020-10-08 00:00:00+00:00,10915.685546875,106840.26967826292,4
2020-10-09 00:00:00+00:00,11064.4580078125,108443.671291933,4
2020-10-10 00:00:00+00:00,11296.361328125,110943.01932759347,4
2020-10-11 00:00:00+00:00,11384.181640625,111889.50653287448,4
2020-10-12 00:00:00+00:00,11555.36328125,113734.4240470381,4
2020-10-13 00:00:00+00:00,11425.8994140625,112339.12163520523,4
2020-10-14 00:00:00+00:00,11429.5068359375,112378.00078003563,4
