date,price,cash,btc_holdings,position_value,total_value,return,peak,drawdown
2023-08-04,29078.51,12743.082119799346,0.0,0.0,12743.082119799346,27.430821197993467,18377.464863357098,-30.659194755377662
2023-08-05,29050.34,12743.082119799346,0.0,0.0,12743.082119799346,27.430821197993467,18377.464863357098,-30.659194755377662
2023-08-06,29046.16,12743.082119799346,0.0,0.0,12743.082119799346,27.430821197993467,18377.464863357098,-30.659194755377662
2023-08-07,29182.16,637.1541059899682,0.4148400260230695,12105.928013809378,12743.082119799346,27.430821197993467,18377.464863357098,-30.659194755377662
2023-08-08,29770.51,637.1541059899682,0.4148400260230695,12349.99914312005,12987.153249110019,29.87153249110019,18377.464863357098,-29.331094654926225
2023-08-09,29566.47,637.1541059899682,0.4148400260230695,12265.355184210304,12902.509290200273,29.025092902002726,18377.464863357098,-29.791680266375376
2023-08-10,29428.1,637.1541059899682,0.4148400260230695,12207.953769809492,12845.10787579946,28.4510787579946,18377.464863357098,-30.104027017288043
2023-08-11,29403.56,637.1541059899682,0.4148400260230695,12197.773595570887,12834.927701560855,28.34927701560855,18377.464863357098,-30.15942189527746
2023-08-12,29417.08,637.1541059899682,0.4148400260230695,12203.382232722719,12840.536338712687,28.40536338712687,18377.464863357098,-30.128902793793472
2023-08-13,29281.55,637.1541059899682,0.4148400260230695,12147.158963995811,12784.31306998578,27.84313069985779,18377.464863357098,-30.43483872753051
2023-08-14,29409.22,637.1541059899682,0.4148400260230695,12200.121590118177,12837.275696108145,28.372756961081453,18377.464863357098,-30.146645407526034
2023-08-15,29171.23,637.1541059899682,0.4148400260230695,12101.393812324946,12738.547918314915,27.385479183149148,18377.464863357098,-30.68386737218387
2023-08-16,28702.8,637.1541059899682,0.4148400260230695,11907.07029893496,12544.224404924928,25.442244049249275,18377.464863357098,-31.741268460064326
2023-08-17,26629.67,637.1541059899682,0.4148400260230695,11047.052995785753,11684.20710177572,16.842071017757206,18377.464863357098,-36.42100698517504
2023-08-18,26049.69,11443.608183482862,0.0,0.0,11443.608183482862,14.436081834828618,18377.464863357098,-37.73021323359829
2023-08-19,26095.8,11443.608183482862,0.0,0.0,11443.608183482862,14.436081834828618,18377.464863357098,-37.73021323359829
2023-08-20,26191.01,11443.608183482862,0.0,0.0,11443.608183482862,14.436081834828618,18377.464863357098,-37.73021323359829
2023-08-21,26126.18,11443.608183482862,0.0,0.0,11443.608183482862,14.436081834828618,18377.464863357098,-37.73021323359829
2023-08-22,26043.01,11443.608183482862,0.0,0.0,11443.608183482862,14.436081834828618,18377.464863357098,-37.73021323359829
2023-08-23,26429.4,11443.608183482862,0.0,0.0,11443.608183482862,14.436081834828618,18377.464863357098,-37.73021323359829
2023-08-24,26166.22,11443.608183482862,0.0,0.0,11443.608183482862,14.436081834828618,18377.464863357098,-37.73021323359829
2023-08-25,26051.29,572.1804091741433,0.4173086159767412,10871.427774308719,11443.608183482862,14.436081834828618,18377.464863357098,-37.73021323359829
2023-08-26,26010.35,572.1804091741433,0.4173086159767412,10854.34315957063,11426.523568744773,14.265235687447731,18377.464863357098,-37.82317825823645
2023-08-27,26091.32,572.1804091741433,0.4173086159767412,10888.132638206267,11460.31304738041,14.603130473804104,18377.464863357098,-37.639314603010476
2023-08-28,26106.0,572.1804091741433,0.4173086159767412,10894.258728688805,11466.439137862948,14.66439137862948,18377.464863357098,-37.605979806682
2023-08-29,27724.41,572.1804091741433,0.4173086159767412,11569.635165871723,12141.815575045866,21.418155750458663,18377.464863357098,-33.930954757228335
2023-08-30,27305.41,572.1804091741433,0.4173086159767412,11394.782855777468,11966.963264951612,19.669632649516117,18377.464863357098,-34.882404325459554
2023-08-31,25937.29,572.1804091741433,0.4173086159767412,10823.85459208737,11396.035001261513,13.960350012615127,18377.464863357098,-37.98908018056335
2023-09-01,25798.79,572.1804091741433,0.4173086159767412,10766.057348774591,11338.237757948735,13.382377579487347,18377.464863357098,-38.30358081349897
2023-09-02,25868.56,572.1804091741433,0.4173086159767412,10795.172970911288,11367.353380085431,13.673533800854312,18377.464863357098,-38.14514970043097
2023-09-03,25971.37,572.1804091741433,0.4173086159767412,10838.076469719856,11410.256878893999,14.10256878893999,18377.464863357098,-37.91169258799697
2023-09-04,25816.24,572.1804091741433,0.4173086159767412,10773.339384123385,11345.519793297528,13.45519793297528,18377.464863357098,-38.263956004511776
2023-09-05,25785.01,572.1804091741433,0.4173086159767412,10760.306836046431,11332.487245220575,13.324872452205746,18377.464863357098,-38.33487192340404
2023-09-06,25751.71,572.1804091741433,0.4173086159767412,10746.410459134406,11318.590868308549,13.18590868308549,18377.464863357098,-38.410488321070154
2023-09-07,26264.75,572.1804091741433,0.4173086159767412,10960.506471475113,11532.686880649257,15.326868806492566,18377.464863357098,-37.24549622921969
2023-09-08,25907.13,572.1804091741433,0.4173086159767412,10811.268564229511,11383.448973403654,13.834489734036543,18377.464863357098,-38.05756638337446
2023-09-09,25898.41,572.1804091741433,0.4173086159767412,10807.629633098193,11379.810042272336,13.798100422723364,18377.464863357098,-38.077367434054594
2023-09-10,25833.67,572.1804091741433,0.4173086159767412,10780.613073299859,11352.793482474002,13.527934824740024,18377.464863357098,-38.224376610778435
2023-09-11,25157.07,572.1804091741433,0.4173086159767412,10498.262063729997,11070.44247290414,10.704424729041403,18377.464863357098,-39.760774648642965
2023-09-12,25840.34,572.1804091741433,0.4173086159767412,10783.396521768424,11355.576930942567,13.555769309425669,18377.464863357098,-38.20923062361829
2023-09-13,26227.49,572.1804091741433,0.4173086159767412,10944.95755244382,11517.137961617964,15.171379616179639,18377.464863357098,-37.330104847148796
2023-09-14,26533.66,572.1804091741433,0.4173086159767412,11072.724931397419,11644.905340571562,16.44905340571562,18377.464863357098,-36.634865433532205
2023-09-15,26605.49,572.1804091741433,0.4173086159767412,11102.700209283028,11674.880618457171,16.748806184571713,18377.464863357098,-36.47175654931729
2023-09-16,26569.13,572.1804091741433,0.4173086159767412,11087.526868006114,11659.707277180258,16.597072771802576,18377.464863357098,-36.554321480822985
2023-09-17,26533.12,572.1804091741433,0.4173086159767412,11072.49958474479,11644.679993918933,16.446799939189333,18377.464863357098,-36.63609164538626
2023-09-18,26767.82,572.1804091741433,0.4173086159767412,11170.441916914531,11742.622326088675,17.426223260886744,18377.464863357098,-36.103143641415215
2023-09-19,27219.02,572.1804091741433,0.4173086159767412,11358.731564443238,11930.911973617382,19.309119736173816,18377.464863357098,-35.07857551447982
2023-09-20,27126.4,572.1804091741433,0.4173086159767412,11320.080440431473,11892.260849605616,18.922608496056164,18377.464863357098,-35.28889355507547
2023-09-21,26567.47,572.1804091741433,0.4173086159767412,11086.834135703593,11659.014544877737,16.590145448777367,18377.464863357098,-36.558090946892825
2023-09-22,26583.16,572.1804091741433,0.4173086159767412,11093.381707888268,11665.56211706241,16.65562117062411,18377.464863357098,-36.52246268024474
2023-09-23,26585.41,572.1804091741433,0.4173086159767412,11094.320652274215,11666.501061448358,16.66501061448358,18377.464863357098,-36.51735346418622
2023-09-24,26261.44,572.1804091741433,0.4173086159767412,10959.125179956229,11531.305589130372,15.313055891303721,18377.464863357098,-37.25301245373245
2023-09-25,26297.93,11546.533180527365,0.0,0.0,11546.533180527365,15.465331805273655,18377.464863357098,-37.1701523230767
