entry_date,exit_date,entry_price,exit_price,pnl,pnl_pct,reason
2023-06-16,2023-06-17,26330.59,26510.43,179.84000000000015,0.6830078627178507,回撤止损-113.6%
2023-08-01,2023-08-02,29699.74,29163.69,-536.0500000000029,-1.8048979553356457,回撤止损-117.8%
2023-08-07,2023-08-08,29182.16,29770.51,588.3499999999985,2.0161290322580596,回撤止损-113.2%
2023-08-22,2023-08-23,26043.01,26429.4,386.39000000000306,1.4836610668275405,回撤止损-110.2%
2023-09-07,2023-09-08,26264.75,25907.13,-357.619999999999,-1.3615968170266193,回撤止损-113.0%
2023-09-13,2023-09-14,26227.49,26533.66,918.5099999999948,1.1673629462826913,回撤止损-105.8%
2024-01-26,2024-01-27,41816.55,42124.02,307.4699999999939,0.7352830398490403,回撤止损-103.4%
2024-04-20,2024-04-21,64979.21,64955.82,-23.389999999999418,-0.03599612860790308,回撤止损-103.6%
2024-05-03,2024-05-04,62917.45,63904.51,987.060000000005,1.5688175537947027,回撤止损-95.8%
2024-05-09,2024-05-10,63077.18,60790.82,-9145.440000000002,-3.6247023091393755,回撤止损-167.5%
2024-05-13,2024-05-14,62932.29,61548.48,-1383.8099999999977,-2.198887089600581,回撤止损-178.3%
2024-06-29,2024-06-30,60905.3,62685.88,1780.5799999999945,2.9235222550418345,回撤止损-164.4%
2024-07-09,2024-07-10,58047.2,57725.78,-642.8399999999965,-0.5537217988119983,回撤止损-169.4%
2024-08-08,2024-08-09,61708.53,60868.88,-839.6500000000015,-1.3606708829395247,回撤止损-176.0%
2024-08-17,2024-08-18,59497.94,58439.22,-1058.7200000000012,-1.7794229514500857,回撤止损-184.3%
2024-09-09,2024-09-10,57056.31,57642.43,586.1200000000026,1.0272658712068878,回撤止损-179.7%
2025-02-12,2025-02-13,97874.61,96632.78,-1241.8300000000017,-1.2687968820514346,回撤止损-189.4%
2025-02-20,2025-02-21,98345.66,96150.27,-2195.3899999999994,-2.232320165424686,回撤止损-206.6%
2025-03-02,2025-03-03,94275.76,86158.95,-8116.809999999998,-8.609646848776396,回撤止损-270.2%
2025-03-12,2025-03-13,83665.14,81081.43,-2583.7100000000064,-3.088155951212185,回撤止损-290.4%
2025-04-10,2025-04-11,79554.96,83386.0,3831.0399999999936,4.8155891222872755,回撤止损-260.4%
2025-06-24,2025-06-25,106133.25,107399.88,1266.6300000000047,1.1934337260001033,回撤止损-250.5%
2025-09-02,2025-09-03,111245.94,111751.51,505.56999999999243,0.45446152911287585,回撤止损-246.5%
