date,price,cash,btc_holdings,position_value,total_value,return,unrealized_profit,unrealized_profit_pct,peak,drawdown
2023-09-29,26909.4,269.9790988999084,0.31217553772889395,8400.4564149619,8670.435513861808,-13.295644861381916,3270.8535358636373,63.76426427066072,17600.33806687587,-50.73710811169182
2023-09-30,26964.27,269.9790988999084,0.31217553772889395,8417.585486717084,8687.564585616992,-13.124354143830077,3287.982607618821,64.09819015457232,17600.33806687587,-50.639785709757845
2023-10-01,27994.51,269.9790988999084,0.31217553772889395,8739.2012127069,9009.180311606808,-9.908196883931923,3609.5983336086365,70.3679879063693,17600.33806687587,-48.81245873019771
2023-10-02,27507.22,269.9790988999084,0.31217553772889395,8587.081194926986,8857.060293826895,-11.429397061731052,3457.4783158287237,67.40245584930186,17600.33806687587,-49.67676041123306
2023-10-03,27428.66,269.9790988999084,0.31217553772889395,8562.556684683004,8832.535783582913,-11.674642164170873,3432.9538055847415,66.92435821051752,17600.33806687587,-49.81610154292495
2023-10-04,27789.8,269.9790988999084,0.31217553772889395,8675.295758378417,8945.274857278326,-10.547251427216743,3545.6928792801546,69.12217110856454,17600.33806687587,-49.17555092811835
2023-10-05,27414.59,269.9790988999084,0.31217553772889395,8558.16437486716,8828.143473767068,-11.71856526232932,3428.5614957688967,66.83873150764464,17600.33806687587,-49.84105736933666
2023-10-06,27946.61,269.9790988999084,0.31217553772889395,8724.248004449684,8994.227103349593,-10.057728966504072,3594.6451253514215,70.07647979921843,17600.33806687587,-48.89741850881331
2023-10-07,27973.69,269.9790988999084,0.31217553772889395,8732.701718011383,9002.680816911292,-9.97319183088708,3603.0988389131207,70.24128229486865,17600.33806687587,-48.849386968000985
2023-10-08,27933.57,269.9790988999084,0.31217553772889395,8720.1772354377,8990.15633433761,-10.098436656623907,3590.574356339438,69.99712143351393,17600.33806687587,-48.920547433931205
2023-10-09,27598.77,269.9790988999084,0.31217553772889395,8615.660865406067,8885.639964305976,-11.143600356940242,3486.0579863078046,67.95960756557868,17600.33806687587,-49.51437903895211
2023-10-10,27395.4,269.9790988999084,0.31217553772889395,8552.173726298142,8822.15282519805,-11.778471748019491,3422.5708471998796,66.72194569185707,17600.33806687587,-49.87509449150019
2023-10-11,26871.21,269.9790988999084,0.31217553772889395,8388.534431176033,8658.513530075941,-13.414864699240589,3258.93155207777,63.53184893429139,17600.33806687587,-50.80484535480936
2023-10-12,26756.23,269.9790988999084,0.31217553772889395,8352.640487847964,8622.619586747873,-13.773804132521272,3223.0376087497016,62.832107761844554,17600.33806687587,-51.00878429729831
2023-10-13,26862.9,269.9790988999084,0.31217553772889395,8385.940252457505,8655.919351357414,-13.440806486425863,3256.3373733592425,63.48127623344747,17600.33806687587,-50.81958472350029
2023-10-14,26854.52,269.9790988999084,0.31217553772889395,8383.324221451338,8653.303320351246,-13.46696679648754,3253.7213423530748,63.43027752910668,17600.33806687587,-50.83444825053157
2023-10-15,27177.41,269.9790988999084,0.31217553772889395,8484.12258082862,8754.101679728528,-12.458983202714718,3354.519701730357,65.39530994492992,17600.33806687587,-50.261741300277095
