date,open,high,low,close,price,volume,wt1,wt2
2022-01-26,36975.99,38930.36,36275.92,36829.37,36829.37,2163384356.61,-67.3334181298617,-70.51399991145526
2022-01-27,36829.37,37242.79,35543.94,37189.85,37189.85,1671118834.49,-63.90525218493146,-68.7062497418924
2022-01-28,37189.85,38021.06,36176.78,37744.7,37744.7,1439590445.61,-59.50146427232521,-65.54765093165034
2022-01-29,37744.7,38728.29,37343.45,38184.86,38184.86,913551592.58,-54.73520017621211,-61.36883369083263
2022-01-30,38184.86,38364.51,37377.53,37908.44,37908.44,658154943.17,-51.713645604733834,-57.46389055955066
2022-01-31,37908.44,38769.81,36660.7,38494.66,38494.66,1310842543.43,-48.23473082253587,-53.546260218951765
2022-02-01,38494.66,39281.06,38033.98,38721.49,38721.49,1255765239.87,-44.504481637790064,-49.797014560317976
2022-02-02,38721.49,38883.19,36650.8,36918.19,36918.19,1099971099.08,-46.48082736660817,-47.73342135791699
2022-02-03,36918.19,37411.52,36270.47,37328.64,37328.64,1012101574.73,-48.86184908805258,-47.020472228746684
2022-02-04,37328.64,41737.83,37060.18,41590.34,41590.34,1978064223.39,-41.6872228341719,-45.38359523165568
2022-02-05,41590.34,41954.24,40963.47,41418.21,41418.21,923755180.09,-35.034299538329336,-43.016049706790504
2022-04-18,39688.16,41096.46,38569.14,40811.03,40811.03,1101204133.54,-30.879263808285064,-20.023592086978432
2022-04-19,40811.03,41755.93,40588.12,41504.44,41504.44,768239204.72,-34.48046674786948,-26.233216728803885
2022-04-20,41504.44,42208.1,40919.04,41375.35,41375.35,1072814871.19,-36.37887051898161,-31.356335732267965
2022-04-21,41375.35,42996.5,39864.73,40490.97,40490.97,1324052657.83,-37.83777481668159,-34.894093972954444
2022-04-22,40490.97,40794.73,39190.22,39716.04,39716.04,1154693915.31,-42.24565050136533,-37.735690646224505
2022-04-23,39716.04,39988.54,39305.67,39445.97,39445.97,455659637.8,-47.538090433246396,-41.00009656756874
2022-04-24,39445.97,39943.44,39044.29,39466.26,39466.26,501272140.43,-52.691775835578426,-45.07832289671794
2022-04-25,39466.26,40590.8,38234.7,40437.52,40437.52,1514243711.31,-55.94628168323792,-49.605449613357024
2022-04-26,40437.52,40797.85,37726.59,38117.39,38117.39,1492483889.14,-60.6451192387891,-54.20531679771297
2022-04-27,38117.39,39465.62,37900.6,39252.04,39252.04,1341340920.21,-59.5119418633672,-57.198779655243165
2022-04-28,39252.04,40386.5,38892.1,39749.75,39749.75,1188927763.73,-55.55699719374977,-57.915084994786
2022-04-29,39749.75,39922.6,38179.15,38594.22,38594.22,964020058.19,-54.12215648648284,-57.459053695597234
2022-04-30,38594.22,38788.01,37607.77,37650.13,37650.13,525291276.33,-55.04438310275261,-56.05886966158811
2022-05-01,37650.13,38668.0,37461.76,38480.53,38480.53,659030267.75,-55.10586709941223,-54.95735097059937
2022-05-02,38480.53,39155.96,38057.31,38513.01,38513.01,1152557748.76,-51.426026308433144,-53.924608249270214
2022-05-03,38513.01,38644.5,37519.23,37725.38,37725.38,1095654277.96,-50.227143458478835,-52.950854992269214
2022-05-04,37725.38,40004.37,37665.8,39680.21,39680.21,1426469839.29,-46.45123551141767,-50.80256809443547
2022-05-05,39680.21,39831.19,35616.74,36546.86,36546.86,1920976838.73,-48.49084006089306,-49.148811334805686
2022-05-06,36546.86,36654.02,35318.86,36009.89,36009.89,1682230363.22,-52.451766769596574,-49.40524645009654
2022-05-07,36009.89,36129.02,34837.06,35469.21,35469.21,713980596.97,-55.7517958775299,-50.786409554859304
2022-05-08,35469.21,35503.12,33732.4,34033.77,34033.77,1413921299.77,-58.736049421632345,-53.85761303241297
2022-05-09,34033.77,34229.57,30068.1,30076.9,30076.9,3472851115.69,-63.86760885823359,-57.70180523174811
2022-05-10,30076.9,32625.41,29836.19,31013.12,31013.12,3244062170.09,-69.72689387008906,-62.020587006871224
2022-05-11,31013.12,32136.04,28087.41,29017.21,29017.21,3967102738.94,-75.89165370104544,-67.05555146275012
2022-05-12,29017.21,30085.67,25835.61,28915.72,28915.72,4501368166.33,-80.69537355143756,-72.54538249520141
2022-05-13,28915.72,30964.26,28700.17,29244.83,29244.83,1942170683.15,-79.98089720597349,-76.57370458213639
2022-05-14,29244.83,30274.18,28588.99,30050.31,30050.31,845013800.63,-78.72290729013007,-78.82270793714665
2022-05-15,30050.31,31406.35,29462.91,31296.11,31296.11,810199953.22,-76.64964023452119,-79.01220457051558
2022-05-16,31296.11,31296.19,29104.45,29838.5,29838.5,1242326194.24,-76.36000670686006,-77.9283628593712
2022-05-17,29838.5,30744.47,29434.76,30415.91,30415.91,1000070390.57,-73.7931975671964,-76.38143794967694
2022-05-18,30415.91,30673.66,28610.2,28667.29,28667.29,1322816665.45,-72.90210894270126,-74.92623836281973
2022-05-19,28667.29,30505.0,28653.17,30282.48,30282.48,1453211639.97,-73.84962721648333,-74.22623510831026
2022-05-20,30282.48,30725.44,28698.31,29166.15,29166.15,1692088244.46,-72.5951471069297,-73.28502020832768
2022-05-21,29166.15,29613.15,28924.28,29410.72,29410.72,462392582.18,-69.74035584652457,-72.27180977815972
2022-05-22,29410.72,30454.36,29219.51,30264.29,30264.29,639923811.62,-66.953930978422,-70.78476528708991
2022-05-23,30264.29,30634.84,28861.27,29075.68,29075.68,1147137210.63,-66.67842607208604,-68.99196500099059
2022-05-24,29075.68,29800.48,28629.55,29630.05,29630.05,826118559.89,-65.09075375205872,-67.11586666227284
2022-05-25,29630.05,30189.17,29321.43,29508.27,29508.27,800315804.06,-66.87680916105464,-66.39997999090536
2022-05-26,29508.27,29848.6,28060.72,29188.71,29188.71,1314694988.34,-64.51576469058742,-65.7904384189467
2022-05-27,29188.71,29359.16,28251.91,28597.33,28597.33,1054644721.04,-61.13982932560981,-64.40578923232765
2022-05-28,28597.33,29234.85,28504.59,29013.53,29013.53,365397751.75,-57.75724130383822,-62.57241112027253
2022-05-29,29013.53,29548.72,28820.15,29452.23,29452.23,374906552.33,-52.85758020391769,-59.067603880988294
2022-05-30,29452.23,32161.5,29287.63,31716.41,31716.41,1426112899.49,-40.48536770398299,-53.06000463433718
2022-06-14,22471.59,23214.28,20837.64,22118.37,22118.37,2063908671.45,-30.074345846307715,-20.02686102809434
2022-06-15,22118.37,22743.84,20083.9,22566.73,22566.73,2516136880.34,-34.68289103736082,-26.417239050985042
2022-06-16,22566.73,22961.17,20209.17,20372.85,20372.85,1326876814.5,-36.63891875334301,-31.453870088287495
2022-06-17,20372.85,21330.5,20221.24,20432.26,20432.26,1312456705.74,-37.56018182788426,-34.73908436622396
2022-06-18,20432.26,20722.69,17600.75,18954.25,18954.25,1898530847.49,-39.711422911115406,-37.14835363242588
2022-06-19,18954.25,20776.87,17936.0,20553.48,20553.48,1190970309.62,-42.04974537560853,-38.99006721698781
2022-06-20,20553.48,21016.02,19616.32,20550.91,20550.91,995940744.76,-49.46993028927332,-42.19782010097039
2022-06-21,20550.91,21694.7,20339.03,20699.21,20699.21,954292227.72,-56.47786933801203,-46.92724197850233
2022-06-22,20699.21,20862.67,19756.23,19956.16,19956.16,1027725806.49,-59.32499367932179,-51.83063467055392
2022-06-23,19956.16,21195.95,19870.07,21098.41,21098.41,836636021.34,-60.872228813223934,-56.53625552995777
2022-06-24,21098.41,21528.86,20717.47,21219.46,21219.46,850728330.88,-60.24121927910108,-59.229077777414716
2022-06-25,21219.46,21587.06,20902.05,21474.19,21474.19,459148971.07,-58.89535929455525,-59.83345026655052
2022-06-26,21474.19,21855.84,20968.82,21031.85,21031.85,445023789.79,-58.256662557381766,-59.566367486065516
2022-06-27,21031.85,21505.42,20553.32,20718.16,20718.16,643546203.12,-64.20354789309445,-60.39919725603314
2022-06-28,20718.16,21184.16,20179.52,20251.96,20251.96,680727935.72,-68.47366330766056,-62.45730826317301
2022-06-29,20251.96,20402.7,19844.86,20094.16,20094.16,751143299.02,-72.31439273174763,-65.81206662247111
2022-06-30,20094.16,20138.96,18622.86,19908.49,19908.49,1084138608.25,-75.42269982700424,-70.10357593987672
2022-07-01,19908.49,20817.65,18952.12,19249.33,19249.33,1220917103.86,-72.91661003956048,-72.28184147649324
2022-07-02,19249.33,19419.25,18965.44,19225.66,19225.66,393018265.78,-69.57023928981569,-72.55598547203202
2022-07-03,19225.66,19617.18,18768.2,19294.21,19294.21,430213883.45,-64.42769997569579,-70.58431228301906
2022-07-04,19294.21,20313.34,19036.44,20212.81,20212.81,623812499.17,-55.72391131684592,-65.65961515547947
2022-07-05,20212.81,20725.51,19284.32,20158.69,20158.69,931653558.35,-48.27866501262405,-59.50012889874537
2022-07-06,20158.69,20637.99,19749.93,20545.04,20545.04,794040793.32,-41.79654971594397,-52.55670650527745
2022-07-07,20545.04,21840.22,20242.62,21611.8,21611.8,1059807101.57,-32.85194641546256,-44.66276811521913
2022-08-31,19813.51,20483.64,19804.19,20050.28,20050.28,1165077708.26,-34.663455194941356,-26.530216568879467
2022-09-01,20050.28,20204.51,19571.05,20129.93,20129.93,896421556.74,-43.15221560266715,-33.04882517210329
2022-09-02,20129.93,20439.1,19760.56,19957.44,19957.44,836881983.68,-49.12670949675151,-39.02606882436764
2022-09-03,19957.44,20052.13,19659.2,19834.79,19834.79,339922228.57,-56.42078290540807,-45.84079079994203
2022-09-04,19834.79,20022.47,19591.33,20003.46,20003.46,387149235.82,-62.023353968411854,-52.68076549330965
2022-09-05,20003.46,20051.73,19638.59,19793.29,19793.29,518213568.45,-66.386472257789,-58.48932965709011
2022-09-06,19793.29,20177.38,18707.09,18791.95,18791.95,1428040857.48,-70.01806752298619,-63.71216916364878
2022-09-07,18791.95,19458.77,18559.15,19287.52,19287.52,961396794.5,-71.52186132806567,-67.48743876931317
2022-09-08,19287.52,19452.91,19023.78,19321.77,19321.77,850349370.86,-70.03740927047382,-69.49095259482867
2022-09-09,19321.77,21559.78,19299.24,21369.73,21369.73,1657848347.88,-57.349836562242196,-67.23179367094197
