date,open,high,low,close,price,volume,wt1,wt2,return_5d,return_20d,return_60d,year
2021-06-28,34713.81,35292.57,33890.86,34487.11,34487.11,1424168416.33,-30.300991617045742,-34.957565721273255,0.5675453814482978,-7.773368078682152,42.33752842728775,2021
2021-07-13,33088.51,33335.54,32206.14,32737.47,32737.47,837278173.94,-31.84774367644452,-25.55978130462547,-2.844355412925925,19.613794224171865,37.96460141849691,2021
2021-07-14,32737.47,33099.2,31601.99,32820.5,32820.5,883070516.73,-38.242467549651096,-28.805006813759107,-6.011334379427491,16.35806888987066,40.3077954327326,2021
2021-07-15,32820.5,33188.54,31133.75,31867.46,31867.46,1073939852.55,-44.499663924680156,-34.6546715973216,-6.50164776232558,24.699489698896613,41.0798350417636,2021
2021-07-16,31867.46,32256.94,31046.14,31401.76,31401.76,812765644.4,-50.33071620249382,-41.2301478383174,2.349295071359059,30.20983537228488,50.08397618477438,2021
2021-07-17,31401.76,31966.25,31194.16,31546.64,31546.64,881285396.92,-53.370927395317395,-46.61094376803561,2.3864031161480392,35.837540860135974,52.62623848371808,2021
2021-07-18,31546.64,32446.17,31131.67,31806.3,31806.3,796652696.45,-53.62176864079503,-50.4557690408216,5.75867045208025,40.28025894241078,50.17298459739108,2021
2021-07-19,31806.3,31907.17,30487.11,30847.55,30847.55,1179342118.61,-56.62285765086951,-53.48656747236894,11.135438632889795,42.07854432523814,53.328157341506866,2021
2021-07-20,30847.55,31063.88,29320.09,29795.55,29795.55,1291958152.32,-61.737556822853044,-56.338277627458744,18.708766913179996,55.36752971500778,62.146562154415676,2021
2021-07-21,29795.55,32814.13,29513.88,32139.48,32139.48,1538668590.41,-58.03713029254257,-57.50482835176504,15.961801497721794,41.884778471835894,47.02092255381856,2021
2021-07-22,32139.48,32604.4,31738.48,32299.47,32299.47,785311959.3,-50.09367835986828,-56.62280578153335,22.28278049144461,41.044698256658705,32.89834167557548,2021
2021-07-23,32299.47,33637.93,32012.62,33637.92,33637.92,765209760.41,-38.29918476613938,-52.041887560350816,19.002631553912973,32.06975936680985,21.02291104800773,2021
