date,whale_holdings_change
2021-02-15,-0.012373417721518986
2021-02-16,-0.012373417721518986
2021-02-17,-0.020601265822784817
2021-02-18,-0.020806962025316462
2021-02-19,-0.021012658227848105
2021-02-20,-0.02227848101265822
2021-02-21,-0.022626582278481012
2021-02-22,-0.017436708860759483
2021-02-23,-0.012468354430379752
2021-02-24,-0.013164556962025316
2021-02-25,-0.018291139240506328
2021-02-26,-0.018291139240506328
2021-02-27,-0.01742088607594936
2021-02-28,-0.01655063291139239
2021-03-01,-0.018734177215189884
2021-03-02,-0.018765822784810135
2021-03-03,-0.01708860759493671
2021-03-04,-0.016202531645569618
2021-03-05,-0.015284810126582275
2021-03-06,-0.01648734177215191
2021-03-07,-0.015886075949367095
2021-03-08,-0.015886075949367095
2021-03-09,-0.015886075949367095
2021-03-10,-0.015506329113924053
2021-03-11,-0.01851265822784809
2021-03-12,-0.01867088607594937
2021-03-13,-0.01867088607594937
2021-03-14,-0.014746835443037974
2021-03-15,-0.01151898734177216
2021-03-16,-0.002626582278481013
2021-03-17,-0.0014873417721519022
2021-03-18,-0.0003481012658227911
2021-03-19,0.0031329113924050667
2021-03-20,0.0037974683544303644
2021-03-21,0.003449367088607591
2021-03-22,0.0035443037974683556
2021-03-23,0.006835443037974684
2021-03-24,0.009113924050632924
2021-03-25,0.010158227848101262
2021-03-26,0.011044303797468338
2021-03-27,0.011408227848101263
2021-03-28,0.011772151898734186
2021-03-29,0.011930379746835449
2021-03-30,0.01056962025316457
2021-03-31,0.00962025316455696
2021-04-01,0.005443037974683537
2021-04-02,0.00787974683544304
2021-04-03,0.00787974683544304
2021-04-04,0.004746835443037973
2021-04-05,0.004541139240506329
2021-04-06,0.004335443037974685
2021-04-07,0.006835443037974684
2021-04-08,0.008607594936708872
2021-04-09,0.01
2021-04-10,0.011329113924050631
2021-04-11,0.015284810126582275
2021-04-12,0.024905063291139236
2021-04-13,0.024905063291139236
2021-04-14,0.02287974683544304
2021-04-15,0.020854430379746845
2021-04-16,0.020094936708860766
2021-04-17,0.022499999999999992
2021-04-18,0.02458860759493671
2021-04-19,0.02465189873417721
2021-04-20,0.02386075949367088
2021-04-21,0.021803797468354428
2021-04-22,0.02174050632911393
2021-04-23,0.020838607594936706
2021-04-24,0.019936708860759485
2021-04-25,0.020094936708860766
2021-04-26,0.01962025316455696
2021-04-27,0.01965189873417721
2021-04-28,0.016740506329113936
2021-04-29,0.014493670886075947
2021-04-30,0.013702531645569636
2021-05-01,0.0025
2021-05-02,0.0024367088607594933
2021-05-03,0.0023734177215189865
2021-05-04,-0.0016455696202531556
2021-05-05,-0.004430379746835449
2021-05-06,-0.004620253164556978
2021-05-07,-0.00212025316455696
2021-05-08,0.0012341772151898667
2021-05-09,0.0035759493670886044
2021-05-10,0.005
