date,price,total_value,position,position_type,peak,dd
2021-02-21,57469.95,10000.0,0.0,,10000.0,0.0
2021-02-22,54121.17,10000.0,0.0,,10000.0,0.0
2021-02-23,48898.7,10000.0,0.0,,10000.0,0.0
2021-02-24,49738.17,10000.0,0.0,,10000.0,0.0
2021-02-25,47082.87,10000.0,0.0,,10000.0,0.0
2021-02-26,46324.5,10000.0,0.0,,10000.0,0.0
2021-02-27,46191.39,10000.0,0.0,,10000.0,0.0
2021-02-28,45261.03,10000.0,0.0,,10000.0,0.0
2021-03-01,49635.07,10000.0,0.0,,10000.0,0.0
2021-03-02,48501.21,10000.0,0.0,,10000.0,0.0
2021-03-03,50392.55,10000.0,0.0,,10000.0,0.0
2021-03-04,48363.74,10000.0,0.0,,10000.0,0.0
2021-03-05,48775.37,10000.0,0.0,,10000.0,0.0
2021-03-06,48892.8,10000.0,0.0,,10000.0,0.0
2021-03-07,50964.18,10000.0,0.0,,10000.0,0.0
2021-03-08,52405.02,10000.0,0.0,,10000.0,0.0
2021-03-09,54928.7,10000.0,0.0,,10000.0,0.0
2021-03-10,55893.31,10000.0,0.0,,10000.0,0.0
2021-03-11,57809.41,10000.0,0.0,,10000.0,0.0
2021-03-12,57256.22,10000.0,0.0,,10000.0,0.0
2021-03-13,61179.79,10000.0,0.0,,10000.0,0.0
2021-03-14,58998.89,10000.0,0.0,,10000.0,0.0
2021-03-15,55665.01,10000.0,0.0,,10000.0,0.0
2021-03-16,56925.01,10000.0,0.0,,10000.0,0.0
2021-03-17,58909.0,10000.0,0.0,,10000.0,0.0
2021-03-18,57643.32,10000.0,0.0,,10000.0,0.0
2021-03-19,58060.21,10000.0,0.0,,10000.0,0.0
2021-03-20,58101.34,10000.0,0.0,,10000.0,0.0
2021-03-21,57374.95,10000.0,0.0,,10000.0,0.0
2021-03-22,54095.36,10000.0,0.0,,10000.0,0.0
2021-03-23,54355.45,10000.0,0.0,,10000.0,0.0
2021-03-24,52303.02,10000.0,0.0,,10000.0,0.0
2021-03-25,51336.09,10000.0,0.0,,10000.0,0.0
2021-03-26,55055.43,10000.0,0.0,,10000.0,0.0
2021-03-27,55863.73,10000.0,0.0,,10000.0,0.0
2021-03-28,55781.01,10000.0,0.0,,10000.0,0.0
2021-03-29,57626.1,10000.0,0.0,,10000.0,0.0
2021-03-30,58781.54,10000.0,0.0,,10000.0,0.0
2021-03-31,58793.8,10000.0,0.0,,10000.0,0.0
2021-04-01,58730.82,10000.0,0.0,,10000.0,0.0
2021-04-02,58987.8,10000.0,0.0,,10000.0,0.0
2021-04-03,57074.97,10000.0,0.0,,10000.0,0.0
2021-04-04,58219.43,10000.0,0.0,,10000.0,0.0
2021-04-05,59119.56,10000.0,0.0,,10000.0,0.0
2021-04-06,58010.35,10000.0,0.0,,10000.0,0.0
2021-04-07,55951.98,10000.0,0.0,,10000.0,0.0
2021-04-08,58084.46,10000.0,0.0,,10000.0,0.0
2021-04-09,58106.85,10000.0,0.0,,10000.0,0.0
2021-04-10,59784.8,10000.0,0.0,,10000.0,0.0
2021-04-11,59980.45,10000.0,0.0,,10000.0,0.0
2021-04-12,59845.76,10000.0,0.0,,10000.0,0.0
2021-04-13,63558.48,10000.0,0.0,,10000.0,0.0
2021-04-14,62964.27,10000.0,0.0,,10000.0,0.0
2021-04-15,63233.03,10000.0,0.0,,10000.0,0.0
2021-04-16,61416.41,10000.0,0.0,,10000.0,0.0
2021-04-17,60056.07,10000.0,-0.10989730097224144,SHORT,10000.0,0.0
2021-04-18,56246.82,10418.62629372851,-0.10989730097224144,SHORT,10418.62629372851,0.0
2021-04-19,55680.11,10480.90619316249,-0.10989730097224144,SHORT,10480.90619316249,0.0
2021-04-20,56496.06,10391.23549043419,-0.10989730097224144,SHORT,10480.90619316249,-0.8555624969413268
2021-04-21,53803.25,10687.168041465251,-0.10989730097224144,SHORT,10687.168041465251,0.0
2021-04-22,51717.61,10916.374248264996,-0.10989730097224144,SHORT,10916.374248264996,0.0
2021-04-23,51178.03,10975.6726339236,-0.10989730097224144,SHORT,10975.6726339236,0.0
2021-04-24,50115.99,11092.387963448158,-0.10989730097224144,SHORT,11092.387963448158,0.0
2021-04-25,49120.97,11201.737975861557,-0.10989730097224144,SHORT,11201.737975861557,0.0
2021-04-26,54062.29,10658.700244621401,-0.10989730097224144,SHORT,11201.737975861557,-4.847798907726098
2021-04-27,55073.48,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-04-28,54877.94,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-04-29,53581.58,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-04-30,57757.97,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-01,57843.16,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-02,56623.51,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-03,57195.07,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-04,53244.07,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-05,57506.88,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-06,56441.94,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-07,57374.33,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-08,58943.13,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-09,58294.18,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-10,55870.01,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-11,56747.52,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-12,49504.08,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-13,49700.6,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-14,49887.96,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-15,46775.29,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-16,46490.71,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-17,43552.14,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-18,42886.02,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-19,36771.87,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-20,40597.4,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-21,37350.39,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-22,37491.5,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-23,34716.84,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-24,38837.76,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-25,38387.36,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-26,39295.08,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-27,38538.84,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-28,35680.92,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-29,34611.58,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-30,35662.59,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-05-31,37290.83,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-01,36683.51,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-02,37576.98,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-03,39229.66,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-04,36861.5,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-05,35538.4,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-06,35798.57,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-07,33582.86,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
2021-06-08,33409.38,10547.57319285128,0.0,,11201.737975861557,-5.83985078404732
