date,price,total_value,position,position_levels,peak,dd
2022-08-11,23943.36,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-12,24412.17,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-13,24449.86,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-14,24313.71,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-15,24101.69,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-16,23858.64,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-17,23338.03,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-18,23201.51,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-19,20833.43,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-20,21142.06,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-21,21514.79,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-22,21399.66,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-23,21520.62,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-24,21369.05,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-25,21565.47,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-26,20247.99,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-27,20038.42,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-28,19554.08,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-29,20292.37,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-30,19813.51,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-31,20050.28,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-09-01,20129.93,-5437.630000000001,1,1,12769.68,-142.58235131968854
2022-09-03,19834.79,-5610.120000000003,0,0,12769.68,-143.93312909955458
2022-09-04,20003.46,-5610.120000000003,0,0,12769.68,-143.93312909955458
2022-09-05,19793.29,-5610.120000000003,0,0,12769.68,-143.93312909955458
2022-09-06,18791.95,-5610.120000000003,0,0,12769.68,-143.93312909955458
2022-09-07,19287.52,-5610.120000000003,0,0,12769.68,-143.93312909955458
2022-09-08,19321.77,-5610.120000000003,0,0,12769.68,-143.93312909955458
2022-09-09,21369.73,-5610.119999999995,4,4,12769.68,-143.93312909955455
2022-09-11,21836.45,-4468.5199999999895,0,0,12769.68,-134.9932026487742
2022-09-12,22400.52,-4468.5199999999895,0,0,12769.68,-134.9932026487742
2022-09-13,20173.77,-4468.5199999999895,0,0,12769.68,-134.9932026487742
2022-09-14,20233.68,-4468.5199999999895,0,0,12769.68,-134.9932026487742
2022-09-15,19700.15,-4468.5199999999895,0,0,12769.68,-134.9932026487742
2022-09-16,19804.02,-4468.5199999999895,0,0,12769.68,-134.9932026487742
2022-09-17,20118.35,-4468.5199999999895,0,0,12769.68,-134.9932026487742
2022-09-18,19417.72,-4468.5199999999895,0,0,12769.68,-134.9932026487742
2022-09-19,19541.28,-4468.5199999999895,0,0,12769.68,-134.9932026487742
2022-09-20,18879.95,-4468.5199999999895,0,0,12769.68,-134.9932026487742
2022-09-21,18468.05,-4468.5199999999895,0,0,12769.68,-134.9932026487742
2022-09-22,19405.96,-4468.5199999999895,0,0,12769.68,-134.9932026487742
2022-09-23,19291.13,-4468.5199999999895,1,1,12769.68,-134.9932026487742
2022-09-25,18809.94,-4835.259999999991,0,0,12769.68,-137.86516185213716
2022-09-26,19230.96,-4835.259999999991,1,1,12769.68,-137.86516185213716
2022-09-28,19412.67,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-09-29,19593.46,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-09-30,19425.63,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-01,19313.96,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-02,19058.15,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-03,19632.35,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-04,20344.58,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-05,20160.74,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-06,19965.12,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-07,19532.81,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-08,19419.32,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-09,19442.41,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-10,19131.36,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-11,19058.29,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-10-12,19154.85,-4984.819999999989,0,0,12769.68,-139.03637366010727
